radius,input_normalized_energy,output_normalized_energy,input_raw_avg_energy,output_raw_avg_energy
3.608439182439327278e-03,6.007890577487185577e-13,1.113224521160358624e-11,1.880318101998862889e-11,7.067818852872418123e-10
1.082531754731798183e-02,7.276608797849637433e-01,5.669746607626954260e-01,2.277394880497895002e+01,3.599699899048737706e+01
1.804219591219663466e-02,9.295550562690096941e-02,7.998423332869407376e-02,2.909272691577942993e+00,5.078167624836729566e+00
2.525907427707529268e-02,6.622218266775953266e-02,6.295060200331133171e-02,2.072587162134098993e+00,3.996709048188324953e+00
3.247595264195394377e-02,2.830505092393861138e-02,3.016421820476207841e-02,8.858766474495587406e-01,1.915114391188157406e+00
3.969283100683260179e-02,1.716160148099523178e-02,2.041361010922302516e-02,5.371148077317767777e-01,1.296052104877863709e+00
4.690970937171125288e-02,1.329208997925940619e-02,1.778463553663090640e-02,4.160088649925559046e-01,1.129139539670254599e+00
5.412658773658991090e-02,8.974505432464613408e-03,1.355006925938178133e-02,2.808793669509261348e-01,8.602885864332311394e-01
6.134346610146856199e-02,7.028827422723558926e-03,1.213067168542187983e-02,2.199845564481123783e-01,7.701715907844256526e-01
6.856034446634720614e-02,5.507216199329516976e-03,1.071417020535925767e-02,1.723619659456548381e-01,6.802384670020568125e-01
7.577722283122587110e-02,4.175113898074182990e-03,9.184935489342953285e-03,1.306705263553490093e-01,5.831479542539091954e-01
8.299410119610453607e-02,3.673810959575563549e-03,9.184587890305882102e-03,1.149810097490324839e-01,5.831258853272842657e-01
9.021097956098317328e-02,3.205865745134128461e-03,9.001235761815083031e-03,1.003355057054820670e-01,5.714849305528530987e-01
9.742785792586183824e-02,2.416549494774487914e-03,7.573801950576472368e-03,7.563189942951932532e-02,4.808577173489634315e-01
1.046447362907405032e-01,2.267218555322750555e-03,7.937660458136085520e-03,7.095821795982387714e-02,5.039589513823934386e-01
1.118616146556191404e-01,1.878485232275019148e-03,7.378296550999210134e-03,5.879184617342993191e-02,4.684451561566333466e-01
1.190784930204978054e-01,1.683798189248828653e-03,7.363221846459887948e-03,5.269863314790428077e-02,4.674880690738457134e-01
1.262953713853764426e-01,1.485642054956528386e-03,7.177081798129887787e-03,4.649684632228986980e-02,4.556701103615272697e-01
1.335122497502551075e-01,1.186955561982780362e-03,6.291670529013276836e-03,3.714871302462924296e-02,3.994556959154172415e-01
1.407291281151337725e-01,1.009997937045505100e-03,5.849020990009701736e-03,3.161038603340345088e-02,3.713520501771458426e-01
1.479460064800124097e-01,8.384724762830011481e-04,5.244115833356330705e-03,2.624207206919793728e-02,3.329468588691241737e-01
1.551628848448910747e-01,8.094528752802708981e-04,5.449990058657290873e-03,2.533383180792073489e-02,3.460177327426707250e-01
1.623797632097697119e-01,6.807431472917308251e-04,4.891013999648704570e-03,2.130554220579177621e-02,3.105285618425616123e-01
1.695966415746483769e-01,5.956296126203408214e-04,4.540865320237727661e-03,1.864170341073403264e-02,2.882977594248272712e-01
1.768135199395270418e-01,5.149255656597590035e-04,4.144126136141448521e-03,1.611587045077327029e-02,2.631089441254113592e-01
1.840303983044057068e-01,4.792143465561960088e-04,4.054906275155256701e-03,1.499819943365294714e-02,2.574444101204329538e-01
1.912472766692843440e-01,3.652849692798266026e-04,3.226057935390845132e-03,1.143249750084885871e-02,2.048211538894910977e-01
1.984641550341630090e-01,3.888080530607618203e-04,3.580570001219075121e-03,1.216871064717130711e-02,2.273289860006612317e-01
2.056810333990416462e-01,3.496265560178129714e-04,3.362300206868419888e-03,1.094242869008403563e-02,2.134711223064970353e-01
2.128979117639203111e-01,3.263639081132470136e-04,3.270385507151379705e-03,1.021436652931019193e-02,2.076354940467182997e-01
2.201147901287989761e-01,2.976024579100699434e-04,3.106527360436143158e-03,9.314205736445152137e-03,1.972322045347020825e-01
2.273316684936776133e-01,2.805657494954674606e-04,3.053840890667440348e-03,8.780999766441420148e-03,1.938871612191417348e-01
2.345485468585562783e-01,2.418304887237622590e-04,2.742875496430786323e-03,7.568683878272447485e-03,1.741440902195394158e-01
2.417654252234349155e-01,2.203978543036033612e-04,2.604653686268841410e-03,6.897896520314202029e-03,1.653684416673276980e-01
2.489823035883135804e-01,2.091159796828825131e-04,2.573881933806255063e-03,6.544802321939244966e-03,1.634147551642286533e-01
2.561991819531922454e-01,1.989551545754297758e-04,2.544325921074646300e-03,6.226794143621541648e-03,1.615382555001495524e-01
2.634160603180708549e-01,1.833838930053311833e-04,2.434081102616318919e-03,5.739452960828868647e-03,1.545388551858348503e-01
2.706329386829495753e-01,1.731546606229199638e-04,2.380928135984118968e-03,5.419303807475853857e-03,1.511641941672509371e-01
2.778498170478281848e-01,1.620276781718285890e-04,2.301003254856396653e-03,5.071057343037721835e-03,1.460897947903912752e-01
2.850666954127068498e-01,1.036727491578067324e-04,1.508785945651975246e-03,3.244695362060747400e-03,9.579222833245387703e-02
2.922835737775855147e-01,1.440339005361672647e-04,2.144921904964078221e-03,4.507897522210434910e-03,1.361802510606067163e-01
2.995004521424641242e-01,1.344849722161023647e-04,2.050925409719616191e-03,4.209040168812741393e-03,1.302124504187356369e-01
3.067173305073428446e-01,1.250254708967719777e-04,1.946342244923856147e-03,3.912981654810003367e-03,1.235725062764159582e-01
3.139342088722214541e-01,1.199154345896053436e-04,1.900490053522683803e-03,3.753050416943557333e-03,1.206613686157675530e-01
3.211510872371001746e-01,1.132161705838294596e-04,1.821279433956881364e-03,3.543380363575201249e-03,1.156323174255248776e-01
3.283679656019787840e-01,1.041429367429313178e-04,1.696544877457228971e-03,3.259411046646578779e-03,1.077129693221072909e-01
3.355848439668573935e-01,9.859157642524353396e-05,1.623047939396847711e-03,3.085667481223115880e-03,1.030466775312105093e-01
3.428017223317361140e-01,9.149622728528510843e-05,1.519383607163577680e-03,2.863600962936992296e-03,9.646506970815399429e-02
3.500186006966147234e-01,8.961988007476898491e-05,1.498767898214042014e-03,2.804876031447907196e-03,9.515618642711576314e-02
3.572354790614934439e-01,8.045957495731236129e-05,1.353326959178482699e-03,2.518181603344814192e-03,8.592219821220004050e-02
3.644523574263720533e-01,7.709535640638409400e-05,1.302910382407536198e-03,2.412890054525751102e-03,8.272126951340025292e-02
3.716692357912506628e-01,7.306294894825570807e-05,1.239466624772427635e-03,2.286685879526856400e-03,7.869325020743765664e-02
3.788861141561293833e-01,4.168067917340805928e-05,7.088216032638075016e-04,1.304500049435751170e-03,4.500280577407020366e-02
3.861029925210079927e-01,6.624313954642341686e-05,1.128935298885897767e-03,2.073243059537769467e-03,7.167565964880076579e-02
3.933198708858867132e-01,6.272325861134181630e-05,1.071310913561237957e-03,1.963079671011429099e-03,6.801711000997055778e-02
4.005367492507653226e-01,5.830171731572372247e-05,9.975641911013186265e-04,1.824696589135068854e-03,6.333495950544816566e-02
4.077536276156439876e-01,5.554692318133733106e-05,9.517811743221113929e-04,1.738478486269195598e-03,6.042821371443586609e-02
4.149705059805226526e-01,5.144294039634858079e-05,8.824653573877476800e-04,1.610034184207129355e-03,5.602737966507181921e-02
4.221873843454012620e-01,4.909570100028678600e-05,8.429689233217373557e-04,1.536571515917557187e-03,5.351976654654289067e-02
4.294042627102799825e-01,4.620994080820039883e-05,7.939999008990069641e-04,1.446254506024922818e-03,5.041074250595359990e-02
4.366211410751585920e-01,4.417061861598046150e-05,7.594003237547723674e-04,1.382428868983394355e-03,4.821402891410298680e-02
4.438380194400372569e-01,4.176600186452043270e-05,7.183943668197295598e-04,1.307170434299467559e-03,4.561057678026500528e-02
4.510548978049159219e-01,3.952805677389312086e-05,6.801564254437299532e-04,1.237128401893710034e-03,4.318286486936837032e-02
4.582717761697945313e-01,3.690041136674139342e-05,6.351322870763511383e-04,1.154889733246584633e-03,4.032429997128653132e-02
4.654886545346732518e-01,3.644031642511370113e-05,6.273630220898543906e-04,1.140489922926761664e-03,3.983103238239722038e-02
4.727055328995518613e-01,2.150057270902038599e-05,3.702159793377826549e-04,6.729136549125172562e-04,2.350486742486410791e-02
4.799224112644305262e-01,3.351378134695497368e-05,5.771467592155582124e-04,1.048896762022388665e-03,3.664282153438426504e-02
4.871392896293091912e-01,3.261840788785907991e-05,5.618035617328067961e-04,1.020873832818316529e-03,3.566868793985204789e-02
4.943561679941878007e-01,3.084133290356213706e-05,5.312538749444702590e-04,9.652558714309362412e-04,3.372910029937417620e-02
5.015730463590664101e-01,2.379075615226900782e-05,4.098412251493086292e-04,7.445906158973755783e-04,2.602065875062905750e-02
5.087899247239451306e-01,1.660745591598093116e-05,2.861152096291346694e-04,5.197714502987493866e-04,1.816534251870872280e-02
5.160068030888238511e-01,1.602804881154583548e-05,2.761477556799238255e-04,5.016374704460115552e-04,1.753251277413986342e-02
5.232236814537024605e-01,1.528649999092673224e-05,2.633827534247247287e-04,4.784288641483050854e-04,1.672206778410124592e-02
5.304405598185810700e-01,1.458209576110762473e-05,2.512547369144652845e-04,4.563827897837581093e-04,1.595206476934720938e-02
5.376574381834597904e-01,1.406956192999405437e-05,2.424303090588744345e-04,4.403417745871605437e-04,1.539180530346203994e-02
5.448743165483383999e-01,1.358651257506262013e-05,2.341122106543260927e-04,4.252235490715363026e-04,1.486369249597164523e-02
5.520911949132170093e-01,1.313509454161000796e-05,2.263378832980893055e-04,4.110953040756913776e-04,1.437010349921168974e-02
5.593080732780957298e-01,1.265418862353891013e-05,2.180543115667603435e-04,3.960441627234186882e-04,1.384418277667153092e-02
5.665249516429744503e-01,1.243263019984864247e-05,2.142389589043227575e-04,3.891099433107644118e-04,1.360194753153135677e-02
5.737418300078529487e-01,1.179718228084722140e-05,2.032908578531808117e-04,3.692220274180680836e-04,1.290685688681794327e-02
5.809587083727316692e-01,1.159712566955394699e-05,1.998449716130353004e-04,3.629607604594306774e-04,1.268807892001958329e-02
5.881755867376103897e-01,1.097470798455396663e-05,1.891204376389537547e-04,3.434806580005875134e-04,1.200718246140334775e-02
5.953924651024889991e-01,1.091351130326591987e-05,1.880668000305507571e-04,3.415653563464701812e-04,1.194028742261095920e-02
6.026093434673676086e-01,1.047770930095483730e-05,1.805575710673215227e-04,3.279258537079981356e-04,1.146352941891978783e-02
6.098262218322463291e-01,1.003455641072174797e-05,1.729214778976254508e-04,3.140562868323825557e-04,1.097871685648348257e-02
6.170431001971250495e-01,9.907972137136593257e-06,1.707405380173099383e-04,3.100945185880931115e-04,1.084024983828478159e-02
6.242599785620035480e-01,9.408302991290122056e-06,1.621302517664534640e-04,2.944561355678352384e-04,1.029358613895305086e-02
6.314768569268822684e-01,9.455752326428937721e-06,1.629482003062199063e-04,2.959411799879791425e-04,1.034551737115421352e-02
6.386937352917609889e-01,9.025681106937108661e-06,1.555371163548607491e-04,2.824810363863385033e-04,9.874990555799495126e-03
6.459106136566395984e-01,8.847417247021643996e-06,1.524653170146073120e-04,2.769018275374411577e-04,9.679963219654814932e-03
6.531274920215182078e-01,8.435619723376057048e-06,1.453690440421358070e-04,2.640136044900606629e-04,9.229423629961944209e-03
6.603443703863969283e-01,8.452718778963963850e-06,1.456638109325102473e-04,2.645487617692146316e-04,9.248138264300211422e-03
6.675612487512755377e-01,8.221858982930144321e-06,1.416855327271194804e-04,2.573234328803566712e-04,8.995558940295347514e-03
6.747781271161541472e-01,8.019045141030462653e-06,1.381905507592463996e-04,2.509758715634291906e-04,8.773663904986255327e-03
