radius,input_normalized_energy,output_normalized_energy,input_raw_avg_energy,output_raw_avg_energy
3.608439182439327278e-03,2.668319581991429230e-13,7.977441115435706221e-12,6.235960315939943462e-12,3.937594299699294900e-10
1.082531754731798183e-02,6.018738815189478286e-01,4.472609602162264109e-01,1.406601242851034961e+01,2.207640497675122049e+01
1.804219591219663466e-02,1.935640399551040725e-01,1.585240473605201428e-01,4.523662307541839844e+00,7.824606615325080838e+00
2.525907427707529268e-02,7.026514360124307135e-02,6.299802574427995627e-02,1.642122068317454886e+00,3.109526770219698477e+00
3.247595264195394377e-02,3.642396152118210217e-02,3.672593444871890406e-02,8.512412835717991788e-01,1.812759606042008587e+00
3.969283100683260179e-02,1.892408537528845677e-02,2.137121188945571154e-02,4.422627867074481745e-01,1.054864096091676418e+00
4.690970937171125288e-02,1.523850894561868362e-02,1.935384079706066809e-02,3.561295194935131248e-01,9.552884452175802732e-01
5.412658773658991090e-02,1.022856477487355843e-02,1.465651121077159169e-02,2.390452944827864967e-01,7.234324160080120025e-01
6.134346610146856199e-02,7.935984471447653579e-03,1.291781261980284347e-02,1.854668554916078793e-01,6.376117930585462057e-01
6.856034446634720614e-02,6.283886724418008898e-03,1.157827376698631131e-02,1.468567277615489552e-01,5.714933413551515073e-01
7.577722283122587110e-02,5.477980233238997042e-03,1.136867036787672820e-02,1.280223987281428610e-01,5.611475031648257561e-01
8.299410119610453607e-02,4.612887129715401158e-03,1.085458453069644558e-02,1.078048569480076352e-01,5.357726814300662888e-01
9.021097956098317328e-02,3.463095921743192859e-03,9.162851612184606462e-03,8.093381648897773895e-02,4.522702424881269168e-01
9.742785792586183824e-02,2.482252416967360275e-03,7.344560510737410675e-03,5.801114555701742531e-02,3.625210036952637993e-01
1.046447362907405032e-01,2.570712908043057150e-03,8.502241507959173647e-03,6.007849954114891089e-02,4.196631126694099212e-01
1.118616146556191404e-01,2.256486049938629009e-03,8.332234027936568851e-03,5.273490310477572246e-02,4.112716939856922438e-01
1.190784930204978054e-01,1.879914032951635235e-03,7.729719976303935612e-03,4.393427753551099046e-02,3.815321338828057129e-01
1.262953713853764426e-01,1.525346428170897082e-03,6.939518200945909640e-03,3.564790311599566608e-02,3.425284739216994390e-01
1.335122497502551075e-01,1.386577567702866869e-03,6.918236859177574923e-03,3.240482416545628630e-02,3.414780457352123433e-01
1.407291281151337725e-01,1.196563425896137465e-03,6.509496685721160442e-03,2.796412427414185844e-02,3.213029926853575580e-01
1.479460064800124097e-01,9.917180866685485797e-04,5.841565329019735020e-03,2.317681388242655988e-02,2.883344923269026694e-01
1.551628848448910747e-01,8.643685383715740082e-04,5.473718409286335539e-03,2.020060842790554964e-02,2.701778940725880207e-01
1.623797632097697119e-01,7.846013899005404614e-04,5.308396060004189933e-03,1.833642103544255719e-02,2.620177292938509761e-01
1.695966415746483769e-01,7.016171848988157420e-04,5.038970544058538059e-03,1.639704985691840117e-02,2.487191243849610212e-01
1.768135199395270418e-01,6.247050376170392881e-04,4.739393304315809262e-03,1.459958488495678199e-02,2.339322570867723439e-01
1.840303983044057068e-01,5.852607393917408580e-04,4.665046363215855779e-03,1.367775722951722513e-02,2.302625579032984426e-01
1.912472766692843440e-01,4.100539496319212341e-04,3.405958252137396194e-03,9.583110563505622959e-03,1.681150835783699615e-01
1.984641550341630090e-01,4.766305296728033615e-04,4.127568831349966161e-03,1.113902955427392531e-02,2.037331428306309866e-01
2.056810333990416462e-01,4.419484569985763014e-04,3.995489309145372134e-03,1.032849684923110162e-02,1.972138145621526173e-01
2.128979117639203111e-01,4.007289117634510781e-04,3.777189243161027145e-03,9.365181022813131792e-03,1.864387165952027248e-01
2.201147901287989761e-01,3.751662367740805589e-04,3.685764719720849552e-03,8.767771972267487599e-03,1.819260830684668040e-01
2.273316684936776133e-01,3.438342208540491347e-04,3.521471685413102119e-03,8.035531317083696376e-03,1.738167243654768213e-01
2.345485468585562783e-01,3.221413198294773191e-04,3.439214825631704397e-03,7.528560297420890113e-03,1.697565985995882210e-01
2.417654252234349155e-01,2.985685282876535097e-04,3.323100310533681941e-03,6.977655549793061913e-03,1.640252889459493657e-01
2.489823035883135804e-01,2.837064760197686303e-04,3.288184699750077745e-03,6.630323960348341247e-03,1.623018853130974715e-01
2.561991819531922454e-01,2.738873536772997428e-04,3.299598322237885187e-03,6.400847485048120032e-03,1.628652516131000039e-01
2.634160603180708549e-01,2.467867743640451950e-04,3.087407782173437042e-03,5.767497048777248635e-03,1.523917144359816234e-01
2.706329386829495753e-01,2.360818525930691617e-04,3.059627055096498637e-03,5.517319117319626799e-03,1.510204823454307510e-01
2.778498170478281848e-01,2.219169504247800093e-04,2.970792675456064222e-03,5.186280180316815876e-03,1.466356960232518825e-01
2.850666954127068498e-01,1.381093576949883768e-04,1.893060367635707262e-03,3.227666129868655021e-03,9.343978356876771196e-02
2.922835737775855147e-01,1.972661142246792806e-04,2.766286177692529272e-03,4.610181135299734612e-03,1.365414363704035294e-01
2.995004521424641242e-01,1.881758936992818489e-04,2.702840683822515730e-03,4.397739361675246511e-03,1.334098229697005811e-01
3.067173305073428446e-01,1.770196665024237478e-04,2.595475977083632185e-03,4.137014257588218606e-03,1.281103961093015553e-01
3.139342088722214541e-01,1.631484703752553243e-04,2.435596419993949283e-03,3.812839338034223601e-03,1.202188827339577687e-01
3.211510872371001746e-01,1.632637886675380946e-04,2.474669509077569683e-03,3.815534368641616998e-03,1.221474958145308404e-01
3.283679656019787840e-01,1.477401038311357924e-04,2.267704545515532646e-03,3.452740184428061947e-03,1.119318884666746644e-01
3.355848439668573935e-01,1.401774977303254165e-04,2.174444705054293797e-03,3.275999317824136725e-03,1.073286653168290389e-01
3.428017223317361140e-01,1.300463185472193722e-04,2.034903561128378370e-03,3.039229960188290485e-03,1.004410380069508252e-01
3.500186006966147234e-01,1.269318652234271874e-04,2.000374077576252789e-03,2.966444048545276244e-03,9.873669327235500004e-02
3.572354790614934439e-01,1.151310801360858971e-04,1.824890520183262152e-03,2.690655391151116401e-03,9.007498025833353406e-02
3.644523574263720533e-01,1.078993483877714496e-04,1.718464909382169019e-03,2.521647179007520303e-03,8.482190634191751066e-02
3.716692357912506628e-01,1.035605729392512632e-04,1.655630559194093540e-03,2.420248412160583718e-03,8.172045845222836169e-02
3.788861141561293833e-01,5.526172463404273707e-05,8.855979518635825410e-04,1.291486687479544322e-03,4.371233076651742655e-02
3.861029925210079927e-01,9.229473494434390268e-05,1.482160563998120937e-03,2.156961663690900623e-03,7.315813308537770510e-02
3.933198708858867132e-01,8.544885894053246857e-05,1.375280108339455671e-03,1.996971041219237821e-03,6.788260842952648089e-02
4.005367492507653226e-01,8.028692857844354504e-05,1.294515397393522158e-03,1.876334843408148561e-03,6.389613380895887984e-02
4.077536276156439876e-01,7.590613320364782027e-05,1.225633886557173872e-03,1.773954055537563159e-03,6.049620342402532713e-02
