radius,input_normalized_energy,output_normalized_energy,input_raw_avg_energy,output_raw_avg_energy
3.608439182439327278e-03,2.102580500655479949e-13,1.493436136614193302e-12,6.659114167405429697e-12,9.571325912459964937e-11
1.082531754731798183e-02,7.406740730167490350e-01,5.790157238256495864e-01,2.345799940367606595e+01,3.710870565740087557e+01
1.804219591219663466e-02,8.487020147430827943e-02,7.341827880592582956e-02,2.687936851178494901e+00,4.705325237251191339e+00
2.525907427707529268e-02,6.342386897288938841e-02,6.033041463591713033e-02,2.008706845218847459e+00,3.866533337162585404e+00
3.247595264195394377e-02,2.920585154679285200e-02,3.108763686125061085e-02,9.249828948083428370e-01,1.992384521522402752e+00
3.969283100683260179e-02,1.580667378705287451e-02,1.889490334720760403e-02,5.006155308779163260e-01,1.210960908114642409e+00
4.690970937171125288e-02,1.270362729227164471e-02,1.706137589835280202e-02,4.023384809905347081e-01,1.093451438829822431e+00
5.412658773658991090e-02,8.799738550352025762e-03,1.336167689399425998e-02,2.786978364530861008e-01,8.563403626976988647e-01
6.134346610146856199e-02,6.570054621487436686e-03,1.135485712685281763e-02,2.080811830840017806e-01,7.277247120651613166e-01
6.856034446634720614e-02,5.158681553887945956e-03,1.008146575603979800e-02,1.633813754570583865e-01,6.461139653760032964e-01
7.577722283122587110e-02,4.311935426476530553e-03,9.513671819561440868e-03,1.365639521456407657e-01,6.097244560832006943e-01
8.299410119610453607e-02,3.703429522581237233e-03,9.280078296917652556e-03,1.172918706043359349e-01,5.947536134642981143e-01
9.021097956098317328e-02,3.217047587288005342e-03,9.036308269125875939e-03,1.018875955477018952e-01,5.791305658730286909e-01
9.742785792586183824e-02,2.556060748206538582e-03,8.054394852448082051e-03,8.095338245467771643e-02,5.162004338210000043e-01
1.046447362907405032e-01,2.123010614608365331e-03,7.479327712275122587e-03,6.723818687029269048e-02,4.793447900797128680e-01
1.118616146556191404e-01,1.883258255665317110e-03,7.409192220343925606e-03,5.964495403279228974e-02,4.748498563169201159e-01
1.190784930204978054e-01,1.469883729958320305e-03,6.446771507068217721e-03,4.655290757025824788e-02,4.131689977530719760e-01
1.262953713853764426e-01,1.333216414768139887e-03,6.474015552000662692e-03,4.222449657947584950e-02,4.149150492033423232e-01
1.335122497502551075e-01,1.178092203019967532e-03,6.280560706831151037e-03,3.731153445584815126e-02,4.025166658572708056e-01
1.407291281151337725e-01,1.022663074099537314e-03,5.933753248597565221e-03,3.238891525482895384e-02,3.802900226802079509e-01
1.479460064800124097e-01,8.367362178943407334e-04,5.252289276165372084e-03,2.650039796918307253e-02,3.366154816815181139e-01
1.551628848448910747e-01,7.775507067850438020e-04,5.250070187450230595e-03,2.462592479010534963e-02,3.364732618650789764e-01
1.623797632097697119e-01,6.605601708355271799e-04,4.766122873805633993e-03,2.092070001915883812e-02,3.054574229564713805e-01
1.695966415746483769e-01,5.781256191274900241e-04,4.428775991831298761e-03,1.830990299620740766e-02,2.838371013788192343e-01
1.768135199395270418e-01,5.462312427134296449e-04,4.415813243148760878e-03,1.729977142800719417e-02,2.830063280412785653e-01
1.840303983044057068e-01,4.775248965898511947e-04,4.051749164193203627e-03,1.512376245845977601e-02,2.596737203235949254e-01
1.912472766692843440e-01,3.875942851665144825e-04,3.435126069270752914e-03,1.227555660652744803e-02,2.201547850175773480e-01
1.984641550341630090e-01,4.032078325697431727e-04,3.727886005174103901e-03,1.277005560280313444e-02,2.389175609538458644e-01
2.056810333990416462e-01,3.581297895798605320e-04,3.456233472399171391e-03,1.134238215762822972e-02,2.215075434620448203e-01
2.128979117639203111e-01,3.397752255631902559e-04,3.416954662218054956e-03,1.076107201401253766e-02,2.189901924720691617e-01
2.201147901287989761e-01,3.058891007212213463e-04,3.206308755828467683e-03,9.687859483299553209e-03,2.054900462471949962e-01
2.273316684936776133e-01,2.866703193434348251e-04,3.131902936450030577e-03,9.079178582315319476e-03,2.007214302374792370e-01
2.345485468585562783e-01,2.612909795802879388e-04,2.974458651168627836e-03,8.275385714819970262e-03,1.906309380461018721e-01
2.417654252234349155e-01,2.406828757493491885e-04,2.854924199466388722e-03,7.622703374518687534e-03,1.829700601085748057e-01
2.489823035883135804e-01,2.289567389778478213e-04,2.826865115767318061e-03,7.251323142086705739e-03,1.811717734038104100e-01
2.561991819531922454e-01,2.101181868868247512e-04,2.696207408403889210e-03,6.654684539742450507e-03,1.727980139273229132e-01
2.634160603180708549e-01,1.939615041931219946e-04,2.583343310643977653e-03,6.142983824405420096e-03,1.655646342267022009e-01
2.706329386829495753e-01,1.839341098876840939e-04,2.537530956115265600e-03,5.825404718822135668e-03,1.626285530293798409e-01
2.778498170478281848e-01,1.695093380512330901e-04,2.415625697262539610e-03,5.368555611414566227e-03,1.548157317488696172e-01
2.850666954127068498e-01,1.125947130983236219e-04,1.644633737307039587e-03,3.566004007619456503e-03,1.054034057464304924e-01
2.922835737775855147e-01,1.498369695533325371e-04,2.240290061392477723e-03,4.745509084872774792e-03,1.435785956314495349e-01
2.995004521424641242e-01,1.423597305020085982e-04,2.179370856370274959e-03,4.508696327957043004e-03,1.396743271374690509e-01
3.067173305073428446e-01,1.361081326643190294e-04,2.126707962797986552e-03,4.310701037327734769e-03,1.362991997683381806e-01
3.139342088722214541e-01,1.235473188081933065e-04,1.965028084015817047e-03,3.912885622044499738e-03,1.259372514039473201e-01
3.211510872371001746e-01,1.182460278792898251e-04,1.909121505161896640e-03,3.744987643730738388e-03,1.223542385536311727e-01
3.283679656019787840e-01,1.100893423436502772e-04,1.799717870452241910e-03,3.486656035535403483e-03,1.153426374671072119e-01
3.355848439668573935e-01,1.060358741271169190e-04,1.751769789101584882e-03,3.358278037073846728e-03,1.122696790577524806e-01
3.428017223317361140e-01,9.629376183079745629e-05,1.604618705940858434e-03,3.049734140691990301e-03,1.028388708646689603e-01
3.500186006966147234e-01,9.262229202932228229e-05,1.554429348010561091e-03,2.933454471197373490e-03,9.962227063443038211e-02
3.572354790614934439e-01,8.407991932545603151e-05,1.419204755511737238e-03,2.662907706981499766e-03,9.095582273984466337e-02
3.644523574263720533e-01,8.004982139364979848e-05,1.357616094677675496e-03,2.535269872304749851e-03,8.700864929933048442e-02
3.716692357912506628e-01,7.591919150954265613e-05,1.292462913244457352e-03,2.404448075122711005e-03,8.283302827046780392e-02
3.788861141561293833e-01,4.259974894349473579e-05,7.270283633013308652e-04,1.349183023570817066e-03,4.659473038154453989e-02
3.861029925210079927e-01,6.563985836719280766e-05,1.122647763715662163e-03,2.078889776934544908e-03,7.194969619375707337e-02
3.933198708858867132e-01,6.141262077181101767e-05,1.052647957191609265e-03,1.945008302471997125e-03,6.746345841214154704e-02
4.005367492507653226e-01,5.765136379026030014e-05,9.899271948001849182e-04,1.825884969761127578e-03,6.344372938852700650e-02
4.077536276156439876e-01,5.405424290075555436e-05,9.294858909157849075e-04,1.711960015783367669e-03,5.957008923834847952e-02
4.149705059805226526e-01,5.075313874915624810e-05,8.737140684326032700e-04,1.607410252208832466e-03,5.599571282792754900e-02
4.221873843454012620e-01,4.733968255607641246e-05,8.156974518825745382e-04,1.499302170315799324e-03,5.227746916337106670e-02
4.294042627102799825e-01,4.448647986346879922e-05,7.670948959767012092e-04,1.408937960874593730e-03,4.916256594555878240e-02
4.366211410751585920e-01,4.122265250959214087e-05,7.112312670608532438e-04,1.305568796338968081e-03,4.558230572620644572e-02
4.438380194400372569e-01,3.905980116892767470e-05,6.742297382067303753e-04,1.237068807871841494e-03,4.321090407574811748e-02
4.510548978049159219e-01,3.611734484609402238e-05,6.236728567150001852e-04,1.143877833351509068e-03,3.997074952202198106e-02
4.582717761697945313e-01,3.419816010796196350e-05,5.907107131540497444e-04,1.083095046316343187e-03,3.785822920019282778e-02
4.654886545346732518e-01,3.257476231264618439e-05,5.628042197435140486e-04,1.031680171809745564e-03,3.606972189842291149e-02
4.727055328995518613e-01,1.767217633738785385e-05,3.053743648856209795e-04,5.596981413101631900e-04,1.957122571211640169e-02
4.799224112644305262e-01,2.989840328764345077e-05,5.167095579067294570e-04,9.469168046287838609e-04,3.311554782664290209e-02
4.871392896293091912e-01,2.911974354156878297e-05,5.033212988434592437e-04,9.222557552893761524e-04,3.225750383163470542e-02
4.943561679941878007e-01,2.779112151395413030e-05,4.804091761883795336e-04,8.801767682329592188e-04,3.078908219711336269e-02
5.015730463590664101e-01,2.029476550616178169e-05,3.508554246119844223e-04,6.427585553281855643e-04,2.248607446133706403e-02
5.087899247239451306e-01,1.353424365471915396e-05,2.339961877312084681e-04,4.286450561020637632e-04,1.499664913778059154e-02
5.160068030888238511e-01,1.312633055243292688e-05,2.269557006429280457e-04,4.157259791979562072e-04,1.454542933097202964e-02
5.232236814537024605e-01,1.243084599122391414e-05,2.149398587053428719e-04,3.936991835850658906e-04,1.377534257280660542e-02
5.304405598185810700e-01,1.203443057486758501e-05,2.080926542007474470e-04,3.811442516125996605e-04,1.333651010922816925e-02
5.376574381834597904e-01,1.140977948772226524e-05,1.972970174300908773e-04,3.613608335565593032e-04,1.264462543179730412e-02
5.448743165483383999e-01,1.095884324539692056e-05,1.895037087928542617e-04,3.470791643461336277e-04,1.214515782769545749e-02
5.520911949132170093e-01,1.064040327544425601e-05,1.840005069615119955e-04,3.369938044052473314e-04,1.179246153892585941e-02
5.593080732780957298e-01,1.010156413669083616e-05,1.746851292756338976e-04,3.199281494079389055e-04,1.119544561274548287e-02
5.665249516429744503e-01,9.676888274814255390e-06,1.673432193913841290e-04,3.064781766364049406e-04,1.072490783346433628e-02
5.737418300078529487e-01,9.374722768128914823e-06,1.621193708550092019e-04,2.969082476570279391e-04,1.039011509855485710e-02
5.809587083727316692e-01,9.044978165193690283e-06,1.564182088048616582e-04,2.864648569932845513e-04,1.002473168024932242e-02
5.881755867376103897e-01,8.747665324695504799e-06,1.512775869766958816e-04,2.770486175308915560e-04,9.695272885836934626e-03
5.953924651024889991e-01,8.411403023805070201e-06,1.454631551736157370e-04,2.663988038798766663e-04,9.322630089679465396e-03
6.026093434673676086e-01,7.987048210632390676e-06,1.381251010467837432e-04,2.529589990898868440e-04,8.852339423147099692e-03
6.098262218322463291e-01,7.820639719145291465e-06,1.352477224819166471e-04,2.476886508540269006e-04,8.667930278740652861e-03
6.170431001971250495e-01,7.485414648058757118e-06,1.294507812011445197e-04,2.370716874633462261e-04,8.296408437709986219e-03
6.242599785620035480e-01,7.394499590845225049e-06,1.278787808950141499e-04,2.341923030814765656e-04,8.195660056874821270e-03
6.314768569268822684e-01,7.264866773321649919e-06,1.256371469548673593e-04,2.300866827189610418e-04,8.051995333010439695e-03
6.386937352917609889e-01,7.072399020739309500e-06,1.223088133226376813e-04,2.239910077253511110e-04,7.838684799279183046e-03
6.459106136566395984e-01,6.890183620607735118e-06,1.191577447261184719e-04,2.182200365204086940e-04,7.636735055527974110e-03
6.531274920215182078e-01,6.734792790825573136e-06,1.164705447083366242e-04,2.132986302971288104e-04,7.464514318855103130e-03
6.603443703863969283e-01,6.873136573996601070e-06,1.188631269744916749e-04,2.176801369562053991e-04,7.617853213504187371e-03
6.675612487512755377e-01,6.602715761339774781e-06,1.141865670103924083e-04,2.091155989317969592e-04,7.318135813689324171e-03
6.747781271161541472e-01,6.356881882030703456e-06,1.099351970831198810e-04,2.013297573527234052e-04,7.045668540729070617e-03
6.819950054810328677e-01,6.275163869231124569e-06,1.085220128568999273e-04,1.987416539407672325e-04,6.955098569426755584e-03
6.892118838459115882e-01,6.319950380153360025e-06,1.092965759581513623e-04,2.001600942302017745e-04,7.004739767333288333e-03
6.964287622107900866e-01,6.093499599571911674e-06,1.053803865750801039e-04,1.929881376714881718e-04,6.753753976904582762e-03
7.036456405756688071e-01,6.002594483610314689e-06,1.038083002279126867e-04,1.901090681404961943e-04,6.653000081760587076e-03
7.108625189405475275e-01,5.943337844987066103e-06,1.027835402914808208e-04,1.882323422712803382e-04,6.587323946751173082e-03
7.180793973054261370e-01,6.068080331528230380e-06,1.049408377731633779e-04,1.921830802294450082e-04,6.725583607014416418e-03
7.252962756703047464e-01,6.104091992440560782e-06,1.055636311313242913e-04,1.933236109311153405e-04,6.765497990100041541e-03
7.325131540351834669e-01,6.051173684258550471e-06,1.046484777089947354e-04,1.916476272737947589e-04,6.706846458573038731e-03
7.397300324000620764e-01,6.153737891372182430e-06,1.064222162819382193e-04,1.948959536253716453e-04,6.820524101352145110e-03
7.469469107649406858e-01,6.236915357517272928e-06,1.078606858552004060e-04,1.975302796026314270e-04,6.912714592550941832e-03
7.541637891298194063e-01,6.394647653715922100e-06,1.105884995581791309e-04,2.025258427591734042e-04,7.087538231403524812e-03
7.613806674946981268e-01,6.189785572917342802e-06,1.070456337618517031e-04,1.960376251418946103e-04,6.860478483956708624e-03
7.685975458595766252e-01,6.301187540220779166e-06,1.089722176213761871e-04,1.995658535189573791e-04,6.983951872373567876e-03
7.758144242244553457e-01,6.223313519280023804e-06,1.076254705430283157e-04,1.970994937483909460e-04,6.897639810595389970e-03
7.830313025893340662e-01,6.319548800215312606e-06,1.092897597455441764e-04,2.001473757318899844e-04,7.004302921118358248e-03
7.902481809542126756e-01,6.520744652483882682e-06,1.127692180507061572e-04,2.065194796767670898e-04,7.227298927583174389e-03
7.974650593190912851e-01,6.684708258284996751e-06,1.156047952620610242e-04,2.117123955722045989e-04,7.409029052992835949e-03
8.046819376839700055e-01,6.961393490111328778e-06,1.203897746159687148e-04,2.204753349535609329e-04,7.715694974338985733e-03
8.118988160488487260e-01,6.860829751952174779e-06,1.186506370150120664e-04,2.172903657535987690e-04,7.604234883229177809e-03
8.191156944137272244e-01,6.480666217941971163e-06,1.120761143141373414e-04,2.052501495789074758e-04,7.182878402384930243e-03
8.263325727786059449e-01,6.838613064650735610e-06,1.182664155072123049e-04,2.165867377254889902e-04,7.579610400242809895e-03
8.335494511434846654e-01,5.765413307110080389e-06,9.970659252581459751e-05,1.825972676069032442e-04,6.390124554297909286e-03
8.407663295083632748e-01,6.960587424330086218e-06,1.203758224415596922e-04,2.204498059235805870e-04,7.714800789410804042e-03
8.479832078732418843e-01,5.842347267520569926e-06,1.010370948499629009e-04,1.850338545797415547e-04,6.475395501340745937e-03
8.552000862381206048e-01,5.145371482995346297e-06,8.898360559760999449e-05,1.629598302100514315e-04,5.702895953565261834e-03
8.624169646029992142e-01,7.800924434796242780e-06,1.349086504335992231e-04,2.470642451331413430e-04,8.646199392479864826e-03
