case,layer,band,input_energy,output_energy,gain_energy,gain_ratio
ESO_TJ_1010018171,f0,1,155.25062561035156,7.258177280426025,104.39591217041016,0.6724347277828215
ESO_TJ_1010018171,f0,2,68.51546478271484,2.005751132965088,49.532470703125,0.722938549132055
ESO_TJ_1010018171,f0,3,42.63858413696289,1.0703319311141968,31.638565063476562,0.742017252773849
ESO_TJ_1010018171,f1,1,21.39630126953125,0.3918263614177704,17.1201229095459,0.8001440386299145
ESO_TJ_1010018171,f1,2,1.5754790306091309,0.03373544663190842,1.225085735321045,0.7775957099515376
ESO_TJ_1010018171,f1,3,0.6340093612670898,0.017901357263326645,0.4602901339530945,0.7259989553347644
ESO_TJ_1010214968,f0,1,174.21371459960938,6.726554870605469,120.93173217773438,0.6941573598592269
ESO_TJ_1010214968,f0,2,72.81385803222656,1.9341943264007568,53.178749084472656,0.730338297154034
ESO_TJ_1010214968,f0,3,41.04355239868164,1.032457709312439,30.44001007080078,0.7416514480792799
ESO_TJ_1010214968,f1,1,20.682567596435547,0.3614887595176697,16.592920303344727,0.8022659771799109
ESO_TJ_1010214968,f1,2,1.3816335201263428,0.029887627810239792,1.0737481117248535,0.7771584114620265
ESO_TJ_1010214968,f1,3,0.5972592234611511,0.017548058182001114,0.4291878938674927,0.7185956733821637
ESO_TJ_2002759833,f0,1,178.22508239746094,7.916574954986572,126.59490966796875,0.7103091661680251
ESO_TJ_2002759833,f0,2,98.66815948486328,2.2802200317382812,77.2032699584961,0.7824537354458213
ESO_TJ_2002759833,f0,3,67.25852966308594,1.111742377281189,56.165977478027344,0.8350759042663485
ESO_TJ_2002759833,f1,1,20.740808486938477,0.35914263129234314,16.768535614013672,0.808480326336982
ESO_TJ_2002759833,f1,2,1.5609592199325562,0.03415367007255554,1.232731819152832,0.7897271135663009
ESO_TJ_2002759833,f1,3,0.6368660926818848,0.024808095768094063,0.44113582372665405,0.6926665256558244
ESO_TJ_2501876128,f0,1,148.52560424804688,7.122776985168457,100.2352523803711,0.6748685042410021
ESO_TJ_2501876128,f0,2,70.7506103515625,2.2786266803741455,51.338809967041016,0.7256306300671581
ESO_TJ_2501876128,f0,3,48.278709411621094,0.9926153421401978,37.72980499267578,0.7814998671773342
ESO_TJ_2501876128,f1,1,20.458309173583984,0.3708501160144806,16.43499755859375,0.8033409515491151
ESO_TJ_2501876128,f1,2,1.304694652557373,0.02722225710749626,1.0248236656188965,0.7854892818095957
ESO_TJ_2501876128,f1,3,0.5310626029968262,0.017208289355039597,0.38439762592315674,0.7238273298726896
ESO_TJ_2801087499,f0,1,163.93069458007812,6.709861755371094,110.7828140258789,0.6757905486196925
ESO_TJ_2801087499,f0,2,72.62055969238281,2.3560914993286133,51.29365158081055,0.7063241015779453
ESO_TJ_2801087499,f0,3,39.19596481323242,0.959664523601532,28.990713119506836,0.7396351450371476
ESO_TJ_2801087499,f1,1,20.900962829589844,0.3936159014701843,16.62157440185547,0.795254005156319
ESO_TJ_2801087499,f1,2,1.5468416213989258,0.03435811027884483,1.1976652145385742,0.774264926654004
ESO_TJ_2801087499,f1,3,0.648064911365509,0.018657419830560684,0.4681246876716614,0.7223422830971887
ESO_TJ_60010190651,f0,1,151.45944213867188,5.750466346740723,105.7625503540039,0.6982895807655893
ESO_TJ_60010190651,f0,2,76.08403015136719,2.0858495235443115,55.269893646240234,0.7264322557083465
ESO_TJ_60010190651,f0,3,39.93750762939453,1.058656096458435,29.393028259277344,0.7359755278680172
