radius,input_normalized_energy,output_normalized_energy,input_raw_avg_energy,output_raw_avg_energy
3.608439182439327278e-03,1.837389345371026345e-12,3.162367467047398491e-12,4.524441332678676603e-11,1.625256813338058552e-10
1.082531754731798183e-02,6.694722437049446251e-01,5.044571456280241284e-01,1.648528058645151262e+01,2.592590587628654220e+01
1.804219591219663466e-02,1.214607036349331509e-01,1.010397088921942549e-01,2.990883936529832532e+00,5.192801817179566015e+00
2.525907427707529268e-02,7.232342252028757523e-02,6.579244962901464877e-02,1.780913136325476875e+00,3.381315680103231802e+00
3.247595264195394377e-02,3.563966633875650242e-02,3.618724110181557180e-02,8.776015811356819851e-01,1.859795256860049095e+00
3.969283100683260179e-02,2.030647404082278409e-02,2.315980710813065127e-02,5.000325636084096415e-01,1.190267566635081709e+00
4.690970937171125288e-02,1.598404919178737088e-02,2.038914260868550377e-02,3.935959082874105341e-01,1.047872939757596988e+00
5.412658773658991090e-02,1.141710480140311831e-02,1.649288816004374283e-02,2.811381321717715820e-01,8.476301104488919158e-01
6.134346610146856199e-02,8.499519861843910992e-03,1.395775315207898465e-02,2.092946661943582976e-01,7.173402093744447594e-01
6.856034446634720614e-02,6.182681692381259732e-03,1.146443101968595835e-02,1.522441646147505157e-01,5.891992255784712640e-01
7.577722283122587110e-02,5.254681172722664058e-03,1.100852012850354542e-02,1.293928080502397271e-01,5.657682900565768058e-01
8.299410119610453607e-02,4.243680192289724616e-03,1.008317917824899483e-02,1.044976238326248003e-01,5.182116193112228375e-01
9.021097956098317328e-02,4.129893230456901758e-03,1.101114824113788755e-02,1.016957003615142491e-01,5.659033584194312905e-01
9.742785792586183824e-02,2.674006161873704584e-03,7.958057043864232710e-03,6.584551082272557809e-02,4.089937860241532608e-01
1.046447362907405032e-01,2.668120495232552836e-03,8.874846654790340475e-03,6.570058044371426820e-02,4.561109720274101331e-01
1.118616146556191404e-01,2.205085602775091417e-03,8.185242980583401495e-03,5.429867365033443083e-02,4.206697058973159487e-01
1.190784930204978054e-01,1.864281187413048589e-03,7.713162057665263159e-03,4.590660592060646222e-02,3.964077330426564738e-01
1.262953713853764426e-01,1.549568909644133755e-03,7.085193236030512022e-03,3.815703862815217340e-02,3.641341084066598288e-01
1.335122497502551075e-01,1.366706925000555619e-03,6.858345892324410609e-03,3.365419156646971138e-02,3.524755900722864044e-01
1.407291281151337725e-01,1.129790718040358383e-03,6.182375611417895850e-03,2.782029750448080166e-02,3.177349941072290518e-01
1.479460064800124097e-01,9.901473218386939654e-04,5.862253287073509490e-03,2.438167762131797367e-02,3.012827318649761166e-01
1.551628848448910747e-01,8.629833626732076558e-04,5.490710188814375801e-03,2.125035505038399761e-02,2.821877671530418907e-01
1.623797632097697119e-01,7.731458629648889315e-04,5.259290327889810587e-03,1.903817014831715726e-02,2.702942503613148806e-01
1.695966415746483769e-01,6.871091525344322258e-04,4.962911273503191854e-03,1.691957699450380784e-02,2.550622419849358780e-01
1.768135199395270418e-01,5.990434356869123872e-04,4.569705010803057528e-03,1.475102099247454362e-02,2.348539276710633616e-01
1.840303983044057068e-01,5.359125764230284914e-04,4.289725330720902362e-03,1.319646822585142723e-02,2.204647433845646209e-01
1.912472766692843440e-01,4.132234996671768808e-04,3.453992028056553087e-03,1.017533646985841617e-02,1.775133388295166426e-01
1.984641550341630090e-01,4.553586479878311442e-04,3.968945780700207371e-03,1.121288470154264277e-02,2.039787039004366809e-01
2.056810333990416462e-01,4.147915062081851986e-04,3.772423493597029578e-03,1.021394752212080939e-02,1.938787016263356644e-01
2.128979117639203111e-01,3.585809290347796068e-04,3.400372790422115810e-03,8.829801808324230436e-03,1.747576492330534526e-01
2.201147901287989761e-01,3.313152470791896225e-04,3.274499390156504919e-03,8.158403670992417714e-03,1.682885527877020504e-01
2.273316684936776133e-01,3.101715407533016562e-04,3.195778606646148927e-03,7.637754854409943908e-03,1.642428025361991339e-01
2.345485468585562783e-01,2.862237890508834430e-04,3.074284251774790731e-03,7.048058403300570297e-03,1.579987613204213714e-01
2.417654252234349155e-01,2.662306302961810829e-04,2.980934435784195809e-03,6.555741007053148342e-03,1.532011713488731774e-01
2.489823035883135804e-01,2.554348272637944352e-04,2.977985483853710837e-03,6.289901991592194291e-03,1.530496138759618596e-01
2.561991819531922454e-01,2.414583932112564744e-04,2.925973434865423734e-03,5.945742186431295269e-03,1.503765236081565093e-01
2.634160603180708549e-01,2.189684881090050322e-04,2.754056528399378024e-03,5.391944176940279346e-03,1.415410822347724640e-01
2.706329386829495753e-01,2.083102955759138857e-04,2.714816867871049436e-03,5.129493722713729734e-03,1.395244119302843366e-01
2.778498170478281848e-01,1.984901573680586937e-04,2.671642199416960056e-03,4.887679763619146890e-03,1.373055071129344329e-01
2.850666954127068498e-01,1.283272973306549629e-04,1.769949936818581522e-03,3.159968950601039703e-03,9.096422930152001096e-02
2.922835737775855147e-01,1.775298842627282263e-04,2.505466431561487531e-03,4.371547860378788980e-03,1.287651239432658634e-01
2.995004521424641242e-01,1.667104627598236328e-04,2.409894228453733894e-03,4.105127256783043695e-03,1.238533173336553994e-01
3.067173305073428446e-01,1.591726897753472324e-04,2.348974464610963618e-03,3.919514927348167685e-03,1.207224268762965430e-01
3.139342088722214541e-01,1.472574594014541913e-04,2.212432553062818053e-03,3.626110805201459859e-03,1.137050364445317818e-01
3.211510872371001746e-01,1.406317415475740807e-04,2.144861605460754526e-03,3.462957188401157536e-03,1.102323172201432749e-01
3.283679656019787840e-01,1.354187067539130941e-04,2.091547758629347300e-03,3.334589892985231115e-03,1.074923227789246066e-01
3.355848439668573935e-01,1.256730446002686562e-04,1.961561680776470907e-03,3.094609854060126342e-03,1.008118607241234171e-01
3.428017223317361140e-01,1.179977241764613532e-04,1.857944906721479845e-03,2.905610516197882492e-03,9.548661406117892048e-02
3.500186006966147234e-01,1.139020024647029969e-04,1.806261410227694240e-03,2.804756265320058721e-03,9.283040931302907750e-02
3.572354790614934439e-01,1.048763843031912563e-04,1.672755869044667554e-03,2.582506800524817046e-03,8.596906910866987384e-02
3.644523574263720533e-01,9.919344200666898811e-05,1.589641020355946456e-03,2.442568365144257275e-03,8.169749170571144470e-02
3.716692357912506628e-01,9.293251565740788403e-05,1.494990239924981652e-03,2.288397481184255809e-03,7.683304039237884298e-02
3.788861141561293833e-01,5.284022218770003748e-05,8.521283359149897912e-04,1.301153105607449423e-03,4.379400554222503267e-02
3.861029925210079927e-01,8.447484695832354793e-05,1.365216878044596708e-03,2.080133370277959404e-03,7.016351059283262859e-02
3.933198708858867132e-01,7.913648671716176836e-05,1.281761558522002704e-03,1.948680024340745292e-03,6.587443514297543212e-02
4.005367492507653226e-01,7.370399884773660016e-05,1.195899903254647127e-03,1.814908852119544473e-03,6.146168925933390148e-02
4.077536276156439876e-01,7.064005402197942314e-05,1.147823726616747963e-03,1.739461377442349816e-03,5.899087793034742816e-02
4.149705059805226526e-01,6.568052118547843638e-05,1.068462252273746005e-03,1.617336388458531435e-03,5.491220022332735790e-02
4.221873843454012620e-01,6.188777084616058316e-05,1.007682853688055121e-03,1.523942593381987128e-03,5.178852365217247872e-02
4.294042627102799825e-01,5.914336697917388233e-05,9.637028729539135656e-04,1.456363588852326724e-03,4.952823087837356086e-02
4.366211410751585920e-01,5.529893461348786403e-05,9.015875560897423143e-04,1.361697160423217066e-03,4.633589655928813111e-02
4.438380194400372569e-01,5.266600490822957796e-05,8.590651287277790895e-04,1.296863128297584241e-03,4.415051280772085834e-02
4.510548978049159219e-01,4.991925548765720856e-05,8.145670756564969998e-04,1.229226366169526271e-03,4.186359439333736665e-02
4.582717761697945313e-01,4.800903393816018479e-05,7.836340734205247179e-04,1.182188511319156319e-03,4.027383377364712053e-02
4.654886545346732518e-01,4.508621106250665286e-05,7.361030113689263042e-04,1.110216064869407179e-03,3.783103788577137083e-02
4.727055328995518613e-01,2.587361484918502153e-05,4.224925866699073222e-04,6.371194692316160292e-04,2.171344608826243291e-02
4.799224112644305262e-01,4.170975550185692656e-05,6.811714901357919256e-04,1.027073234336276170e-03,3.500790521439552799e-02
4.871392896293091912e-01,4.100294683555407793e-05,6.697195224423934268e-04,1.009668570745662344e-03,3.441934652493996299e-02
4.943561679941878007e-01,3.890390860630235561e-05,6.355047095279571729e-04,9.579812386773389624e-04,3.266092159849731669e-02
5.015730463590664101e-01,2.934842275754160764e-05,4.794563583382552394e-04,7.226841567775352032e-04,2.464102357513354644e-02
5.087899247239451306e-01,2.002892861479060153e-05,3.272296330915278311e-04,4.931982037575728022e-04,1.681753294801863544e-02
5.160068030888238511e-01,1.896203537633525256e-05,3.098153606280951633e-04,4.669267122101563509e-04,1.592254951344186306e-02
5.232236814537024605e-01,1.810464287111413222e-05,2.958192702129300018e-04,4.458140280709761510e-04,1.520323901128250998e-02
5.304405598185810700e-01,1.724903598909627582e-05,2.818489582115767242e-04,4.247453136404796088e-04,1.448525335650795165e-02
5.376574381834597904e-01,1.665639517410305676e-05,2.721727726682302831e-04,4.101519526549980569e-04,1.398795863521706644e-02
5.448743165483383999e-01,1.590874973152479527e-05,2.599617760904661032e-04,3.917417123261751253e-04,1.336039066304245577e-02
5.520911949132170093e-01,1.539372742203298542e-05,2.515504987597267858e-04,3.790596521510312066e-04,1.292810422153590523e-02
5.593080732780957298e-01,1.480350186583145189e-05,2.419091123288875694e-04,3.645257652053537087e-04,1.243259795447400513e-02
5.665249516429744503e-01,1.430721026043955118e-05,2.338017864238927290e-04,3.523049353733229659e-04,1.201593269332560700e-02
5.737418300078529487e-01,1.365590202823603095e-05,2.231605357433673646e-04,3.362669307254814895e-04,1.146903972939344006e-02
5.809587083727316692e-01,1.313919969226013109e-05,2.147183798612762771e-04,3.235435010861912328e-04,1.103516632569816885e-02
5.881755867376103897e-01,1.258351542792945099e-05,2.056387472375507106e-04,3.098601690270887305e-04,1.056853065043003234e-02
5.953924651024889991e-01,1.236721609197141462e-05,2.021049966923782492e-04,3.045339508343851377e-04,1.038691822840682837e-02
6.026093434673676086e-01,1.182933547494419029e-05,1.933157267382761403e-04,2.912890210003479135e-04,9.935205357400436407e-03
6.098262218322463291e-01,1.111034490656170758e-05,1.815665185126238989e-04,2.735843866854093345e-04,9.331370385056197286e-03
6.170431001971250495e-01,1.082071207650741147e-05,1.768337652793018080e-04,2.664523830580902688e-04,9.088136810259585252e-03
6.242599785620035480e-01,1.070157872662639979e-05,1.748872281999120455e-04,2.635188085619713039e-04,8.988097118994764143e-03
6.314768569268822684e-01,1.037414204533546091e-05,1.695364741484063533e-04,2.554559118308013209e-04,8.713102211877743128e-03
6.386937352917609889e-01,1.022336517302212451e-05,1.670726742502937697e-04,2.517431379713843905e-04,8.586478484153659690e-03
6.459106136566395984e-01,9.869000848551331609e-06,1.612817545040485297e-04,2.430171670686922625e-04,8.288861845001145243e-03
6.531274920215182078e-01,9.420576979440456803e-06,1.539536297688662281e-04,2.319750463930918293e-04,7.912242594425364720e-03
6.603443703863969283e-01,9.540721052115161443e-06,1.559171680752029438e-04,2.349335092232766593e-04,8.013156041198317772e-03
6.675612487512755377e-01,9.367497231861137216e-06,1.530863796469137100e-04,2.306679951440952130e-04,7.867671424747616979e-03
6.747781271161541472e-01,9.141095851868655912e-06,1.493865290266088925e-04,2.250930212606659111e-04,7.677522509681848802e-03
6.819950054810328677e-01,8.911570660585702342e-06,1.456356093650165598e-04,2.194411257332001526e-04,7.484748968978230388e-03
6.892118838459115882e-01,8.744343031655204759e-06,1.429027691480944258e-04,2.153232636251763610e-04,7.344298270930039660e-03
6.964287622107900866e-01,8.594789092942978161e-06,1.404587455442730080e-04,2.116406036408938619e-04,7.218690919619330168e-03
7.036456405756688071e-01,8.358789642846431374e-06,1.366019898850500162e-04,2.058292840683911622e-04,7.020478078200722942e-03
7.108625189405475275e-01,8.470862025807704643e-06,1.384335386057582542e-04,2.085889872472478492e-04,7.114608095294244414e-03
7.180793973054261370e-01,8.320751228741732908e-06,1.359803969827928663e-04,2.048926150197846415e-04,6.988532135483976893e-03
7.252962756703047464e-01,8.173286730674206982e-06,1.335704971186414279e-04,2.012614060338377875e-04,6.864678528511113272e-03
7.325131540351834669e-01,8.136908418714184949e-06,1.329760099009183916e-04,2.003656158266089017e-04,6.834125646497408481e-03
7.397300324000620764e-01,8.544044459650667288e-06,1.396295639533263945e-04,2.103910529299475736e-04,7.176076231597678518e-03
7.469469107649406858e-01,8.479032261950994039e-06,1.385671217230015817e-04,2.087901735347245252e-04,7.121473422417324770e-03
7.541637891298194063e-01,8.399644957003445241e-06,1.372697548603799358e-04,2.068353172888256868e-04,7.054796973369373281e-03
7.613806674946981268e-01,8.541325331511933535e-06,1.395851416750431293e-04,2.103240963223524794e-04,7.173793207528015095e-03
7.685975458595766252e-01,8.543422696992629837e-06,1.396194234605003680e-04,2.103757424641705253e-04,7.175555074419462040e-03
7.758144242244553457e-01,8.663392219546778162e-06,1.415799992946519036e-04,2.133299071210691003e-04,7.276316268863945551e-03
7.830313025893340662e-01,8.179714263336433414e-06,1.336755888746034412e-04,2.014196794804395420e-04,6.870079579912718830e-03
7.902481809542126756e-01,8.276440134206443288e-06,1.352563048937967542e-04,2.038014856512772050e-04,6.951318383021999267e-03
7.974650593190912851e-01,8.466903363962291907e-06,1.383689195156035930e-04,2.084915079986574015e-04,7.111287082867955543e-03
8.046819376839700055e-01,8.493500236292067637e-06,1.388035804020314548e-04,2.091464371718997615e-04,7.133625902581972912e-03
8.118988160488487260e-01,9.043421499109776160e-06,1.477905738865977956e-04,2.226878593940302003e-04,7.595500512171651265e-03
8.191156944137272244e-01,9.020480015052596828e-06,1.474156698186578117e-04,2.221229415721064418e-04,7.576232814881035497e-03
8.263325727786059449e-01,9.088376943606423067e-06,1.485252662997608802e-04,2.237948554246864136e-04,7.633259054233681659e-03
8.335494511434846654e-01,8.971887141472326181e-06,1.466215487004450427e-04,2.209263764224603189e-04,7.535420013350541298e-03
8.407663295083632748e-01,7.844672316219133767e-06,1.282002340520265924e-04,1.931695084563305939e-04,6.588680981439752789e-03
8.479832078732418843e-01,8.597729609736080961e-06,1.405069774633744141e-04,2.117130117875485956e-04,7.221169735125649095e-03
8.552000862381206048e-01,1.026136384872695910e-05,1.676946260825849702e-04,2.526788284899951368e-04,8.618442873603414031e-03
8.624169646029992142e-01,5.786157399033284074e-06,9.455943532655990244e-05,1.424800342917214040e-04,4.859756752853906618e-03
