radius,input_normalized_energy,output_normalized_energy,input_raw_avg_energy,output_raw_avg_energy
3.608439182439327278e-03,9.798457422814632807e-13,1.429897493576143602e-11,2.978855830162813648e-11,8.877269984109853912e-10
1.082531754731798183e-02,6.395242951601928239e-01,4.929237192907733323e-01,1.944235294356643351e+01,3.060231210540797164e+01
1.804219591219663466e-02,1.703154828553181954e-01,1.448200503927102867e-01,5.177807558659810461e+00,8.990901041676828243e+00
2.525907427707529268e-02,7.072248135296953231e-02,6.632312037616408529e-02,2.150053491188800514e+00,4.117555617887888708e+00
3.247595264195394377e-02,2.715501500643287616e-02,2.856486023115397885e-02,8.255470354111632547e-01,1.773399684029959955e+00
3.969283100683260179e-02,2.170197084330222070e-02,2.568008067740296108e-02,6.597675489416392480e-01,1.594303160969133826e+00
4.690970937171125288e-02,1.367639887985010357e-02,1.806990522406101696e-02,4.157799414835950391e-01,1.121838649147367306e+00
5.412658773658991090e-02,1.056132490643135573e-02,1.581593483023424965e-02,3.210777259542310635e-01,9.819048160433713202e-01
6.134346610146856199e-02,7.303214427262106484e-03,1.243849583042734054e-02,2.220270185072626967e-01,7.722223878214541370e-01
6.856034446634720614e-02,5.591780143431849051e-03,1.077266897045173893e-02,1.699972369371771930e-01,6.688024234588276773e-01
7.577722283122587110e-02,4.394097904951937625e-03,9.561968398225496532e-03,1.335861717579656105e-01,5.936381833797095275e-01
8.299410119610453607e-02,3.840478165662159805e-03,9.453424225767823041e-03,1.167554267037829024e-01,5.868994071496830278e-01
9.021097956098317328e-02,3.378198781994644177e-03,9.371720669680637383e-03,1.027015447733913844e-01,5.818269839214008643e-01
9.742785792586183824e-02,2.634740758653110384e-03,8.169501051570734682e-03,8.009947414382810604e-02,5.071892691334439762e-01
1.046447362907405032e-01,2.340921494451160285e-03,8.114684081032101648e-03,7.116699436242686361e-02,5.037860528234034962e-01
1.118616146556191404e-01,1.783529948761270129e-03,6.920902625623901253e-03,5.422158159065976202e-02,4.296722066960281805e-01
1.190784930204978054e-01,1.558259037845639156e-03,6.731836318823166375e-03,4.737305903868489765e-02,4.179343537526605812e-01
1.262953713853764426e-01,1.427680161759000256e-03,6.804902715689184825e-03,4.340329492641652187e-02,4.224705539674294963e-01
1.335122497502551075e-01,1.223728489690624087e-03,6.411425512911103457e-03,3.720290438333226368e-02,3.980422059400653967e-01
1.407291281151337725e-01,9.499997733568090212e-04,5.431952596687973644e-03,2.888120284044039254e-02,3.372333328670032437e-01
1.479460064800124097e-01,8.073976589786432002e-04,4.990853158997413282e-03,2.454591697370932940e-02,3.098484411820411899e-01
1.551628848448910747e-01,7.514844585515623523e-04,4.995375728878665572e-03,2.284608448081650728e-02,3.101292170700908346e-01
1.623797632097697119e-01,7.205610898404206811e-04,5.122177414803880807e-03,2.190597469415788215e-02,3.180014792808819046e-01
1.695966415746483769e-01,6.033748443805480666e-04,4.545802438075036145e-03,1.834336360712865779e-02,2.822182409474095488e-01
1.768135199395270418e-01,5.245972741969955316e-04,4.175550503382829438e-03,1.594842515813423706e-02,2.592317933092544435e-01
1.840303983044057068e-01,4.934838921435394550e-04,4.126869139284871854e-03,1.500253872390612878e-02,2.562094954575986350e-01
1.912472766692843440e-01,3.632310020314877090e-04,3.168684133211403450e-03,1.104268500037597703e-02,1.967222452746038575e-01
1.984641550341630090e-01,4.064272989329037163e-04,3.694760371784102260e-03,1.235590743237450877e-02,2.293827739000157406e-01
2.056810333990416462e-01,3.582967184271052138e-04,3.400854470480991869e-03,1.089267649548246453e-02,2.111361370081250022e-01
2.128979117639203111e-01,3.130403372531218031e-04,3.097866693607760971e-03,9.516824878285092340e-03,1.923256676613887550e-01
2.201147901287989761e-01,2.837572960537637396e-04,2.926845290393649199e-03,8.626583136778921690e-03,1.817081011839765115e-01
2.273316684936776133e-01,2.715764576943900817e-04,2.919792773891346453e-03,8.256270139565652019e-03,1.812702579585733220e-01
2.345485468585562783e-01,2.366367773840144496e-04,2.651999363382069163e-03,7.194059365916241795e-03,1.646447696579336761e-01
2.417654252234349155e-01,2.265739238965520236e-04,2.646103593883513024e-03,6.888135805852528895e-03,1.642787410591152464e-01
2.489823035883135804e-01,2.108459267295045554e-04,2.563280143833937194e-03,6.409984663931402558e-03,1.591367911612474872e-01
2.561991819531922454e-01,1.901241639439099455e-04,2.402262457491537335e-03,5.780016688141718754e-03,1.491402880531589037e-01
2.634160603180708549e-01,1.796710849652914297e-04,2.355498561364119826e-03,5.462229776233440241e-03,1.462370328667069730e-01
2.706329386829495753e-01,1.648332509540986464e-04,2.238817533030965437e-03,5.011140727784697824e-03,1.389930940865469755e-01
2.778498170478281848e-01,1.596039802057738310e-04,2.238869963900394933e-03,4.852164238078498712e-03,1.389963491659181594e-01
2.850666954127068498e-01,1.051560516222790231e-04,1.511924565828251001e-03,3.196877875108909695e-03,9.386520800800839115e-02
2.922835737775855147e-01,1.394928558921193430e-04,2.052917499143102308e-03,4.240760449423263030e-03,1.274518136920313738e-01
2.995004521424641242e-01,1.330074760658375851e-04,2.004286416540175270e-03,4.043596644216971431e-03,1.244326374795741430e-01
3.067173305073428446e-01,1.261635121334058786e-04,1.940633767533401404e-03,3.835531425562462536e-03,1.204808734337214221e-01
3.139342088722214541e-01,1.160083971224779053e-04,1.816762731377822866e-03,3.526802997699506666e-03,1.127905555185935577e-01
3.211510872371001746e-01,1.141422565588266525e-04,1.814285279876942918e-03,3.470069948219774939e-03,1.126367472495067718e-01
3.283679656019787840e-01,1.061888995155251697e-04,1.709298038029975590e-03,3.228277766292841564e-03,1.061187968722971942e-01
3.355848439668573935e-01,1.013646824489291285e-04,1.648789821234318944e-03,3.081615424306845957e-03,1.023622494333007171e-01
3.428017223317361140e-01,9.541691337884629386e-05,1.565623274013030509e-03,2.900795670682923977e-03,9.719899894404258889e-02
3.500186006966147234e-01,9.032566432686864864e-05,1.492565259826115218e-03,2.746015216302605689e-03,9.266331915333150815e-02
3.572354790614934439e-01,8.425823234710702733e-05,1.400380306472132292e-03,2.561557557845613349e-03,8.694017659890124206e-02
3.644523574263720533e-01,8.016044866706269526e-05,1.338642403985417298e-03,2.436979715851586049e-03,8.310728626173086164e-02
3.716692357912506628e-01,7.701164665493107108e-05,1.290967402398003226e-03,2.341252124996041559e-03,8.014746667686070691e-02
3.788861141561293833e-01,4.253553409755106939e-05,7.147750868522721865e-04,1.293134401345208623e-03,4.437556854536368889e-02
3.861029925210079927e-01,6.870570335785992433e-05,1.156995520273887629e-03,2.088740871970921637e-03,7.183005530130336103e-02
3.933198708858867132e-01,6.500372999587982620e-05,1.097054033740523698e-03,1.976196167671189809e-03,6.810869232531308048e-02
4.005367492507653226e-01,6.181952614548481817e-05,1.045174982618550822e-03,1.879392315851712318e-03,6.488787163433208660e-02
4.077536276156439876e-01,5.939951910208177285e-05,1.005692148137072792e-03,1.805821020093553546e-03,6.243664850117301712e-02
4.149705059805226526e-01,5.609265125703287132e-05,9.507903122355641952e-04,1.705288026636179056e-03,5.902816347262691832e-02
4.221873843454012620e-01,5.409610822166344743e-05,9.177921607943185719e-04,1.644590575961613933e-03,5.697953061162468885e-02
4.294042627102799825e-01,5.144302319618078407e-05,8.734200875030446011e-04,1.563933412746564781e-03,5.422476758748506070e-02
4.366211410751585920e-01,4.863274631494938620e-05,8.261917396715423231e-04,1.478497416948532399e-03,5.129267772448979634e-02
4.438380194400372569e-01,4.744431230401072478e-05,8.063806327771775402e-04,1.442367509663274212e-03,5.006273959692868897e-02
4.510548978049159219e-01,4.450329797747069134e-05,7.566779205168720161e-04,1.352956929046702410e-03,4.697703312034926665e-02
4.582717761697945313e-01,4.304871969186126689e-05,7.321682881212133575e-04,1.308735896903142791e-03,4.545539520598809030e-02
4.654886545346732518e-01,4.164243375902563100e-05,7.084200492164235497e-04,1.265983013779423171e-03,4.398102708273399220e-02
4.727055328995518613e-01,2.033285199768565369e-05,3.459530827829516899e-04,6.181445925979747562e-04,2.147789566382527632e-02
4.799224112644305262e-01,3.929842396343918013e-05,6.687259187486286130e-04,1.194722131129838600e-03,4.151668600562773842e-02
4.871392896293091912e-01,3.788669864185035478e-05,6.447919329142734208e-04,1.151803883661500164e-03,4.003078610719479347e-02
4.943561679941878007e-01,3.659083011573126097e-05,6.228063870402291303e-04,1.112407830307568296e-03,3.866585171610215782e-02
5.015730463590664101e-01,2.642981117969590087e-05,4.498978521333882579e-04,8.034999156032856258e-04,2.793112594855068354e-02
5.087899247239451306e-01,1.642657275773000238e-05,2.796391842187177378e-04,4.993887294445344214e-04,1.736091256609784833e-02
5.160068030888238511e-01,1.570361506608824908e-05,2.673459691542302797e-04,4.774098950037815726e-04,1.659770968204181060e-02
5.232236814537024605e-01,1.502989468064343508e-05,2.558871175682758594e-04,4.569279373702367537e-04,1.588630680390993102e-02
5.304405598185810700e-01,1.422010807833851279e-05,2.421086769629600746e-04,4.323093934773263752e-04,1.503089627439355841e-02
5.376574381834597904e-01,1.378929919493905851e-05,2.347803576054440888e-04,4.192122548296415706e-04,1.457593030824065952e-02
5.448743165483383999e-01,1.325635842483355982e-05,2.257114244075140639e-04,4.030101767712751678e-04,1.401290135807071145e-02
5.520911949132170093e-01,1.276065306837303085e-05,2.172751894056003982e-04,3.879401027033183187e-04,1.348915237537905674e-02
5.593080732780957298e-01,1.228314673112241445e-05,2.091477582523946783e-04,3.734233019939868980e-04,1.298457494274206196e-02
5.665249516429744503e-01,1.170380070615984982e-05,1.992854434272848271e-04,3.558104450954808410e-04,1.237229027363737424e-02
5.737418300078529487e-01,1.140648521581256741e-05,1.942247667690050357e-04,3.467716755871646118e-04,1.205810696189887898e-02
5.809587083727316692e-01,1.102028800393969324e-05,1.876501964756881300e-04,3.350307885624223873e-04,1.164993619591400513e-02
5.881755867376103897e-01,1.057705638232232259e-05,1.801040773303271415e-04,3.215559828537891394e-04,1.118144850860369396e-02
5.953924651024889991e-01,1.026493043158213750e-05,1.747901240006502141e-04,3.120669564898777564e-04,1.085154095507325292e-02
6.026093434673676086e-01,9.798766437765621442e-06,1.668529929288649371e-04,2.978949774642913016e-04,1.035877797213182600e-02
6.098262218322463291e-01,9.389697172510430925e-06,1.598878891540486701e-04,2.854587508914374519e-04,9.926361613937166595e-03
6.170431001971250495e-01,9.366008124085513925e-06,1.594849216540233027e-04,2.847385736536687129e-04,9.901344077305218941e-03
6.242599785620035480e-01,9.124725394495502908e-06,1.553766682926613742e-04,2.774032714245313019e-04,9.646290310054213279e-03
6.314768569268822684e-01,8.831290007038144761e-06,1.503802683465241805e-04,2.684824619849945394e-04,9.336097506236351248e-03
6.386937352917609889e-01,8.629432711212513461e-06,1.469432166764731698e-04,2.623457431466699437e-04,9.122714129026076799e-03
6.459106136566395984e-01,8.481865764467872156e-06,1.444305898479673151e-04,2.578595200537769374e-04,8.966722060880134154e-03
6.531274920215182078e-01,8.188655652593120960e-06,1.394378825954505953e-04,2.489455592788175219e-04,8.656758511525509958e-03
6.603443703863969283e-01,8.148338076787116412e-06,1.387514475658970501e-04,2.477198536338850185e-04,8.614142386164962834e-03
6.675612487512755377e-01,7.883547809401533521e-06,1.342426226648924317e-04,2.396698923212467307e-04,8.334219831316705060e-03
6.747781271161541472e-01,7.656095623118453492e-06,1.303695816675161259e-04,2.327550562204637940e-04,8.093768814738959774e-03
6.819950054810328677e-01,7.774102498611915434e-06,1.323790753927189649e-04,2.363426155055050248e-04,8.218524738923326661e-03
6.892118838459115882e-01,7.599859377580903868e-06,1.294120585508082180e-04,2.310454027448468391e-04,8.034322656806451232e-03
6.964287622107900866e-01,7.449383718201076099e-06,1.268497569179319556e-04,2.264707510838874049e-04,7.875246614796752379e-03
7.036456405756688071e-01,7.209997647061794484e-06,1.227734603112537253e-04,2.191931096868583782e-04,7.622176827099648791e-03
7.108625189405475275e-01,6.966672851188394975e-06,1.186300932212550367e-04,2.117957260423372818e-04,7.364943085055641013e-03
7.180793973054261370e-01,6.728039130535401122e-06,1.145666008805136001e-04,2.045409570581350979e-04,7.112668227947477675e-03
7.252962756703047464e-01,6.573919469997261936e-06,1.119422254249998540e-04,1.998555231216892804e-04,6.949738440582086015e-03
7.325131540351834669e-01,6.315676376550072733e-06,1.075448118999353022e-04,1.920046042339541446e-04,6.676732667307084049e-03
7.397300324000620764e-01,6.528553666997344776e-06,1.111697430321388608e-04,1.984763449416456968e-04,6.901780214274215279e-03
7.469469107649406858e-01,6.512573677341765334e-06,1.108976376377723681e-04,1.979905329071857665e-04,6.884887023952699324e-03
7.541637891298194063e-01,6.384359358801833127e-06,1.087143760514502905e-04,1.940926543553665609e-04,6.749343024226924816e-03
7.613806674946981268e-01,6.551227314604117276e-06,1.115558447943141321e-04,1.991656527015307169e-04,6.925750670894837563e-03
7.685975458595766252e-01,6.427594989974267055e-06,1.094506150614788436e-04,1.954070725992923356e-04,6.795051143125093243e-03
7.758144242244553457e-01,6.175416257612289822e-06,1.051564556524051239e-04,1.877405180109093831e-04,6.528455722121769347e-03
7.830313025893340662e-01,6.231406676958987235e-06,1.061098751605292473e-04,1.894426980572891980e-04,6.587647114649966031e-03
7.902481809542126756e-01,6.625967017095301223e-06,1.128285365566318322e-04,2.014378348308535108e-04,7.004763526231696028e-03
7.974650593190912851e-01,6.074215907697544769e-06,1.034331945785169516e-04,1.846638985049029163e-04,6.421470054444620990e-03
8.046819376839700055e-01,6.418764851010049133e-06,1.093002579145517630e-04,1.951386251304748111e-04,6.785716481071984128e-03
8.118988160488487260e-01,6.324307799771996601e-06,1.076918236777188275e-04,1.922670104911611429e-04,6.685859637933239813e-03
8.191156944137272244e-01,6.380680780157827552e-06,1.086517661599848208e-04,1.939808208802841125e-04,6.745455997970065121e-03
8.263325727786059449e-01,6.361403780010965199e-06,1.083235145405383771e-04,1.933947755284736597e-04,6.725077066881378351e-03
8.335494511434846654e-01,5.735193293729300318e-06,9.766025712737727517e-05,1.743571793286282658e-04,6.063067269731880170e-03
8.407663295083632748e-01,6.098550967834309718e-06,1.038476042399211294e-04,1.854037153213436082e-04,6.447197957772207028e-03
8.479832078732418843e-01,5.010139037264312975e-06,8.531387824701282176e-05,1.523146066474819426e-04,5.296563802598759814e-03
8.552000862381206048e-01,4.792808930495737127e-06,8.161309666695164408e-05,1.457074946534032728e-04,5.066807212451451825e-03
8.624169646029992142e-01,1.209006515999128521e-05,2.058724036074742209e-04,3.675533763613892746e-04,1.278123024420742618e-02
