radius,input_normalized_energy,output_normalized_energy,input_raw_avg_energy,output_raw_avg_energy
3.608439182439327278e-03,4.502110884856006732e-13,5.508798497905757798e-14,1.257442463136377257e-11,3.281510069208876484e-12
1.082531754731798183e-02,6.851441396120416805e-01,5.121018258197685968e-01,1.913611984580816028e+01,3.050515096035319829e+01
1.804219591219663466e-02,1.019718377957046784e-01,8.434957918085629613e-02,2.848079982207614602e+00,5.024580106183557326e+00
2.525907427707529268e-02,6.682696316763589439e-02,6.056235725527724795e-02,1.866481375483128646e+00,3.607610356845864619e+00
3.247595264195394377e-02,3.856135532000867783e-02,3.920924291000067036e-02,1.077021131988835867e+00,2.335636808355539440e+00
3.969283100683260179e-02,2.262371524669446604e-02,2.594825484014330608e-02,6.318818206097864820e-01,1.545699294840769955e+00
4.690970937171125288e-02,1.671346617520481914e-02,2.147383550019398360e-02,4.668081842583992058e-01,1.279164729753872631e+00
5.412658773658991090e-02,1.258834266101236526e-02,1.836275551043020302e-02,3.515932194320975368e-01,1.093842280286802859e+00
6.134346610146856199e-02,9.575814023892802868e-03,1.583414102240400870e-02,2.674531010162968236e-01,9.432164422431738027e-01
6.856034446634720614e-02,6.480190799456324313e-03,1.214930572786013761e-02,1.809921454371878902e-01,7.237162349471756295e-01
7.577722283122587110e-02,5.410870111323607366e-03,1.149136749107916404e-02,1.511259499045273236e-01,6.845238239389479507e-01
8.299410119610453607e-02,4.652690384891119101e-03,1.119986491450659753e-02,1.299499414256552188e-01,6.671594451077589305e-01
9.021097956098317328e-02,3.999876875136349104e-03,1.087284593009131030e-02,1.117168181492835671e-01,6.476794062101810523e-01
9.742785792586183824e-02,2.973907319572354283e-03,9.014935599445135853e-03,8.306142253495307770e-02,5.370064262487543871e-01
1.046447362907405032e-01,2.653517374512999374e-03,8.958352476185480959e-03,7.411291078161698354e-02,5.336358529959037700e-01
1.118616146556191404e-01,2.231700458322095210e-03,8.442975386420411427e-03,6.233153720701552214e-02,5.029355993898483312e-01
1.190784930204978054e-01,1.873968063297830246e-03,7.909295525456445930e-03,5.234004842658371293e-02,4.711450766805312940e-01
1.262953713853764426e-01,1.673519655986310242e-03,7.809168668765713826e-03,4.674151152982704283e-02,4.651806674077328396e-01
1.335122497502551075e-01,1.379810862906070143e-03,7.069239610847837321e-03,3.853820606576267155e-02,4.211041840333488162e-01
1.407291281151337725e-01,1.169910326493856607e-03,6.544488241881359775e-03,3.267567059584249034e-02,3.898455184323240119e-01
1.479460064800124097e-01,9.723859065881777742e-04,5.884419846718267656e-03,2.715880085522247994e-02,3.505262170289840107e-01
1.551628848448910747e-01,9.076570664739720250e-04,5.907420244354413472e-03,2.535092019144423101e-02,3.518963168151263976e-01
1.623797632097697119e-01,8.250994472229389483e-04,5.732672570102489810e-03,2.304508058072094953e-02,3.414868554262859845e-01
1.695966415746483769e-01,6.872968809992442609e-04,5.066606353906109687e-03,1.919624605108500442e-02,3.018102726643787648e-01
1.768135199395270418e-01,6.317794079589240854e-04,4.921221490643896100e-03,1.764563946159047533e-02,2.931499106473821614e-01
1.840303983044057068e-01,5.677337438664461491e-04,4.650393440943073782e-03,1.585683994799905877e-02,2.770170829090775055e-01
1.912472766692843440e-01,4.120357273632682974e-04,3.516630498691542244e-03,1.150818434211950576e-02,2.094804955296578064e-01
1.984641550341630090e-01,4.571774835748514576e-04,4.068055448940940087e-03,1.276899649385775624e-02,2.423280670526370972e-01
2.056810333990416462e-01,4.019785021720416809e-04,3.735711356129118015e-03,1.122728539626473981e-02,2.225308192967301590e-01
2.128979117639203111e-01,3.793979689243243050e-04,3.671895936229790415e-03,1.059660965166120059e-02,2.187294287929742731e-01
2.201147901287989761e-01,3.512116933226117066e-04,3.541683034121357980e-03,9.809365162893086618e-03,2.109728381394556929e-01
2.273316684936776133e-01,3.302024302850545831e-04,3.473188696458469771e-03,9.222575096227040442e-03,2.068927314009353369e-01
2.345485468585562783e-01,2.978625007042723979e-04,3.264237441269133341e-03,8.319318784915277765e-03,1.944458131094365660e-01
2.417654252234349155e-01,2.753828239572643022e-04,3.144827489055143817e-03,7.691459968857452915e-03,1.873327382583066525e-01
2.489823035883135804e-01,2.526249558397051414e-04,3.003566074646059781e-03,7.055831249943931259e-03,1.789180040118040493e-01
2.561991819531922454e-01,2.416884603366790886e-04,2.986728472337890281e-03,6.750374227779875648e-03,1.779150128598024350e-01
2.634160603180708549e-01,2.179777604214217976e-04,2.795529600541641312e-03,6.088132855528951941e-03,1.665255778812078924e-01
2.706329386829495753e-01,2.052997799992883172e-04,2.728341754292505205e-03,5.734036047668739262e-03,1.625232969105240843e-01
2.778498170478281848e-01,1.920827373182748977e-04,2.635938431237683580e-03,5.364883196278592316e-03,1.570189671524465092e-01
2.850666954127068498e-01,1.204803751613418101e-04,1.693299393896561091e-03,3.365024620163655986e-03,1.008673490847279836e-01
2.922835737775855147e-01,1.667083381229589973e-04,2.396956726266082430e-03,4.656174596228546472e-03,1.427831792302862168e-01
