radius,input_normalized_energy,output_normalized_energy,input_raw_avg_energy,output_raw_avg_energy
3.608439182439327278e-03,1.063220002015926584e-12,5.579489811866618940e-13,5.890741557418403005e-13,1.688843591765482392e-12
1.082531754731798183e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.804219591219663466e-02,4.430528003945972682e-01,1.297673507275702576e-01,2.454722012816270560e-01,3.927899612443632171e-01
2.525907427707529268e-02,6.837296754590667380e-02,2.160905554315544971e-02,3.788185705338704967e-02,6.540797852259772061e-02
3.247595264195394377e-02,1.017053629800014347e-01,3.668806195595208236e-02,5.634958025457115910e-02,1.110502938760198344e-01
3.969283100683260179e-02,2.337376753361894433e-02,9.272633272665229548e-03,1.295017244809730690e-02,2.806713124204631218e-02
4.690970937171125288e-02,4.486675880567205649e-02,1.953007491340375684e-02,2.485830591430891398e-02,5.911515743617282159e-02
5.412658773658991090e-02,2.204868865177218168e-02,1.089312665271217721e-02,1.221601609086623783e-02,3.297216728059244178e-02
6.134346610146856199e-02,3.028640733952686279e-02,1.669083157936875408e-02,1.678010176648088783e-02,5.052111376581849139e-02
6.856034446634720614e-02,8.616018978135700501e-03,5.344958995395390593e-03,4.773681924510044146e-03,1.617853970881767689e-02
7.577722283122587110e-02,2.920965390924096239e-02,2.041018992891951295e-02,1.618352945154592423e-02,6.177915836473280020e-02
8.299410119610453607e-02,7.903734909521505786e-03,5.937860661089195205e-03,4.379042869966575866e-03,1.797318081834068521e-02
9.021097956098317328e-02,1.423895237734944773e-02,1.255236295976283091e-02,7.889052909493467214e-03,3.799447343917228270e-02
9.742785792586183824e-02,7.458311660552639950e-03,7.231348757423693499e-03,4.132257328087547005e-03,2.188841170176912196e-02
1.046447362907405032e-01,5.617156981756935182e-03,5.979671008472815102e-03,3.112170576572998153e-03,1.809973564616407585e-02
1.118616146556191404e-01,1.013992631842832587e-02,1.178063473727065068e-02,5.617998649373751735e-03,3.565854612845557881e-02
1.190784930204978054e-01,5.066039318415064760e-03,6.650922206346563184e-03,2.806825331344377054e-03,2.013153124436183397e-02
1.262953713853764426e-01,8.272357091875187293e-03,1.175547389542997909e-02,4.583276989383054494e-03,3.558238732552046479e-02
1.335122497502551075e-01,3.991261906597865644e-03,6.325079527313458468e-03,2.211347824077604558e-03,1.914524515196971630e-02
1.407291281151337725e-01,8.315051955350299256e-03,1.406538422274268389e-02,4.606931962585616123e-03,4.257420447256148044e-02
1.479460064800124097e-01,3.614325044180650287e-03,6.646434289671689088e-03,2.002506978744191413e-03,2.011794686734474924e-02
1.551628848448910747e-01,6.507113119671652061e-03,1.282402469343868999e-02,3.605248358777407222e-03,3.881676041077065237e-02
1.623797632097697119e-01,3.232668557445637133e-03,6.720121115556389017e-03,1.791051238370096116e-03,2.034098791211597437e-02
1.695966415746483769e-01,5.475710313831993331e-03,1.215203049245272213e-02,3.033802434201337151e-03,3.678271583267142542e-02
1.768135199395270418e-01,2.765463544207084033e-03,6.440184505283739168e-03,1.532197569129462858e-03,1.949365389717787680e-02
1.840303983044057068e-01,4.673932154124173059e-03,1.152114056390727073e-02,2.589579421441410255e-03,3.487308887956312026e-02
1.912472766692843440e-01,2.593580691546004333e-03,6.630519484630560158e-03,1.436966341231337048e-03,2.006977469136775674e-02
1.984641550341630090e-01,2.256354806744784603e-03,6.052713365223711013e-03,1.250127255240742570e-03,1.832082596138221581e-02
2.056810333990416462e-01,4.389166797719478048e-03,1.216741666384671579e-02,2.431805948791760860e-03,3.682928789900137556e-02
2.128979117639203111e-01,2.184159623365889043e-03,6.338489939954401742e-03,1.210127709881443419e-03,1.918583683725861092e-02
2.201147901287989761e-01,3.427801785911641606e-03,1.036743347537650954e-02,1.899164273864013992e-03,3.138095807739620796e-02
2.273316684936776133e-01,2.011202639318350558e-03,6.350645495593120610e-03,1.114301362404646707e-03,1.922263022327956594e-02
2.345485468585562783e-01,3.445473071487867821e-03,1.134067412838188869e-02,1.908955001664423097e-03,3.432683896524732492e-02
2.417654252234349155e-01,1.936865183582189452e-03,6.645294644153326540e-03,1.073114896861535571e-03,2.011449729920237670e-02
2.489823035883135804e-01,3.040782012723114783e-03,1.088855776803649388e-02,1.684737019190324196e-03,3.295833782330114675e-02
2.561991819531922454e-01,1.830536734111108286e-03,6.794509176888272051e-03,1.014203908087099636e-03,2.056615151115511256e-02
2.634160603180708549e-01,2.704740208367196076e-03,1.046005288260197508e-02,1.498553969755968144e-03,3.166130573935119208e-02
2.706329386829495753e-01,1.688865990747120960e-03,6.736366162470345913e-03,9.357116173267441802e-04,2.039015969000902706e-02
2.778498170478281848e-01,2.630814049660817108e-03,1.089401510204062763e-02,1.457595382215639678e-03,3.297485650847089417e-02
2.850666954127068498e-01,1.679532036074016460e-03,7.116018247882098524e-03,9.305401650794517272e-04,2.153932029997084746e-02
2.922835737775855147e-01,1.502676977602592293e-03,6.542463972972937560e-03,8.325541000503935323e-04,1.980324138528245445e-02
2.995004521424641242e-01,2.375245889399225496e-03,1.055665875120587530e-02,1.315998536826027505e-03,3.195371993423266194e-02
3.067173305073428446e-01,1.483891039457504741e-03,6.742223261352922256e-03,8.221458020202083126e-04,2.040788841476292442e-02
3.139342088722214541e-01,2.300249683067398954e-03,1.062445053887649780e-02,1.274447092303730147e-03,3.215891741651564356e-02
3.211510872371001746e-01,1.491643400630804318e-03,6.995893373473936229e-03,8.264409766825627423e-04,2.117571693981346384e-02
3.283679656019787840e-01,2.209269553046043673e-03,1.049491958536188409e-02,1.224039798253585094e-03,3.176684300083489759e-02
3.355848439668573935e-01,1.489370438008619452e-03,7.148510504055727126e-03,8.251816479122634721e-04,2.163767040091399418e-02
3.428017223317361140e-01,2.170615932159216440e-03,1.051320892593680424e-02,1.202623864536104051e-03,3.182220260658572691e-02
3.500186006966147234e-01,1.409007681344979449e-03,6.868178800242739218e-03,7.806568807474603298e-04,2.078914048596308684e-02
3.572354790614934439e-01,2.063856914674154757e-03,1.012361703370824421e-02,1.143474320722406325e-03,3.064295541234473078e-02
3.644523574263720533e-01,1.351840612165045637e-03,6.660611889961313287e-03,7.489836212625428698e-04,2.016086073618060526e-02
3.716692357912506628e-01,2.029346794516489506e-03,1.004072012378545882e-02,1.124354082335354398e-03,3.039203656524423064e-02
3.788861141561293833e-01,1.435313191081418827e-03,7.120472554492279435e-03,7.952313770040869961e-04,2.155280294341678157e-02
3.861029925210079927e-01,1.301913740451151810e-03,6.476638616785267664e-03,7.213217735283684482e-04,1.960399605153027164e-02
3.933198708858867132e-01,1.939428914807487993e-03,9.666348663885875048e-03,1.074535325187026338e-03,2.925885976537517807e-02
4.005367492507653226e-01,1.385822031350247580e-03,6.920087471050983055e-03,7.678109343110915566e-04,2.094626170852561739e-02
4.077536276156439876e-01,1.884584203562630206e-03,9.423608950781944479e-03,1.044148761811419671e-03,2.852411622651133266e-02
4.149705059805226526e-01,1.334733388289521252e-03,6.681783814441823177e-03,7.395054103161217930e-04,2.022494557223175268e-02
4.221873843454012620e-01,1.684092875839257120e-03,8.438134592928891661e-03,9.330670859698496095e-04,2.554120540450458693e-02
