layer,band,raw_energy,weighted_energy
f0,1,1814.10302734375,315441.90625
f0,2,1444.8416748046875,220971.03125
f0,3,1174.405517578125,150160.4375
f1,1,185.40902709960938,240429.34375
f1,2,23.316030502319336,44570.68359375
f1,3,7.746232032775879,24371.2421875
