patch_idx,sd,sh,sw,layer,band,raw_energy,weighted_energy,ratio
9,32,0,0,f0,3,82.43303680419922,12630.869140625,153.2258137065432
9,32,0,0,f1,1,21.333017349243164,28803.306640625,1350.1749972394557
9,32,0,0,f1,2,1.7125989198684692,3300.932373046875,1927.4404151197673
9,32,0,0,f1,3,0.8704801797866821,1642.027587890625,1886.346899123114
10,32,0,32,f0,1,192.82334899902344,33604.33203125,174.27522240276005
10,32,0,32,f0,2,103.20433807373047,15363.6259765625,148.86608705911553
10,32,0,32,f0,3,58.014732360839844,9126.8994140625,157.32037437137316
10,32,0,32,f1,1,21.106380462646484,27543.7109375,1304.9945245820254
10,32,0,32,f1,2,1.2970565557479858,2847.120849609375,2195.062996281842
10,32,0,32,f1,3,0.5759140849113464,1333.942626953125,2316.2180990175816
11,32,0,64,f0,1,248.82615661621094,37152.921875,149.31276671328592
11,32,0,64,f0,2,105.95967102050781,16097.357421875,151.9196621397523
11,32,0,64,f0,3,79.599609375,11268.892578125,141.5696969696952
11,32,0,64,f1,1,23.462528228759766,27922.0234375,1190.068826567152
11,32,0,64,f1,2,1.4573389291763306,2947.91015625,2022.803410538205
11,32,0,64,f1,3,0.6509451270103455,1445.67333984375,2220.8835735220937
12,32,32,0,f0,1,202.6022186279297,35073.9140625,173.1171272458352
12,32,32,0,f0,2,126.17264556884766,17741.73046875,140.61471397989246
12,32,32,0,f0,3,88.43270874023438,12775.806640625,144.46924472429086
12,32,32,0,f1,1,21.85494041442871,28116.919921875,1286.524666217384
12,32,32,0,f1,2,1.7411915063858032,3461.626220703125,1988.0789723621185
12,32,32,0,f1,3,0.8191466331481934,1548.532470703125,1890.4215778191285
13,32,32,32,f0,1,183.32797241210938,31119.349609375,169.7468705944151
13,32,32,32,f0,2,101.57637023925781,15976.833984375,157.28888467605458
13,32,32,32,f0,3,69.3971939086914,10695.94140625,154.12642505866899
13,32,32,32,f1,1,20.93906021118164,27085.818359375,1293.5546335985816
13,32,32,32,f1,2,1.524766206741333,3139.4345703125,2058.961273164566
13,32,32,32,f1,3,0.6653674840927124,1351.279541015625,2030.8770315943282
14,32,32,64,f0,1,220.78936767578125,34207.88671875,154.93448384245798
14,32,32,64,f0,2,96.14618682861328,16204.865234375,168.54402414586696
14,32,32,64,f0,3,77.08096313476562,11829.33203125,153.46632359234877
14,32,32,64,f1,1,21.903217315673828,27687.814453125,1264.0980571064545
14,32,32,64,f1,2,1.4863187074661255,3020.61669921875,2032.2806165618824
14,32,32,64,f1,3,0.7341091632843018,1423.7886962890625,1939.478169591688
15,32,64,0,f0,1,169.02352905273438,31555.166015625,186.6909665918748
15,32,64,0,f0,2,101.8435287475586,15873.8701171875,155.86527992892113
15,32,64,0,f0,3,72.2380599975586,10654.6181640625,147.49313816598126
15,32,64,0,f1,1,21.525285720825195,27508.142578125,1277.945525782743
15,32,64,0,f1,2,1.5274858474731445,3206.45068359375,2099.168832821559
15,32,64,0,f1,3,0.6195542812347412,1386.4288330078125,2237.7842829888777
16,32,64,32,f0,1,167.1225128173828,29510.4375,176.57966603366182
16,32,64,32,f0,2,93.37640380859375,16461.5078125,176.29194465705925
16,32,64,32,f0,3,68.35338592529297,10718.7568359375,156.81383871242954
16,32,64,32,f1,1,21.21956443786621,27168.125,1280.3337730871297
16,32,64,32,f1,2,1.6841480731964111,3208.2275390625,1904.9557400089964
16,32,64,32,f1,3,0.6363421082496643,1297.391845703125,2038.827587993067
17,32,64,64,f0,1,179.31251525878906,30762.498046875,171.55800866703305
17,32,64,64,f0,2,86.820556640625,15639.5146484375,180.13607898384853
17,32,64,64,f0,3,65.7473373413086,10124.8447265625,153.9962702063826
17,32,64,64,f1,1,21.355701446533203,27379.705078125,1282.079408474238
17,32,64,64,f1,2,1.4889532327651978,2980.93505859375,2002.0340417648497
17,32,64,64,f1,3,0.6115778684616089,1223.0751953125,1999.8683052202
18,64,0,0,f0,1,175.98550415039062,35244.484375,200.26924686297562
18,64,0,0,f0,2,108.73360443115234,15850.2568359375,145.77146521408088
18,64,0,0,f0,3,61.88161087036133,9620.736328125,155.47003694328149
18,64,0,0,f1,1,21.455013275146484,27809.974609375,1296.19936621474
18,64,0,0,f1,2,1.4914276599884033,3179.8544921875,2132.0876482940466
18,64,0,0,f1,3,0.6321444511413574,1418.230712890625,2243.5231541267503
19,64,0,32,f0,1,151.80975341796875,35887.74609375,236.39947556559275
19,64,0,32,f0,2,92.99180603027344,15554.8076171875,167.27073363994538
19,64,0,32,f0,3,51.4344482421875,8841.4091796875,171.89664673870143
19,64,0,32,f1,1,22.08633041381836,27524.9375,1246.2431279565446
19,64,0,32,f1,2,1.5874269008636475,3433.244873046875,2162.7735243599805
19,64,0,32,f1,3,0.560732364654541,1343.1075439453125,2395.273803698465
20,64,0,64,f0,1,180.55679321289062,36546.125,202.4079202431838
20,64,0,64,f0,2,102.38763427734375,15695.5771484375,153.29563241906502
20,64,0,64,f0,3,64.9436264038086,9814.6923828125,151.1263371987612
20,64,0,64,f1,1,21.355146408081055,27401.10546875,1283.1148494669087
20,64,0,64,f1,2,1.5360305309295654,3346.627197265625,2178.750441397903
20,64,0,64,f1,3,0.5958527326583862,1413.2442626953125,2371.8012610058477
21,64,32,0,f0,1,158.98500061035156,32821.4296875,206.4435611000827
21,64,32,0,f0,2,106.6584243774414,16382.5068359375,153.59787031883343
21,64,32,0,f0,3,64.7725601196289,10050.2548828125,155.16223018281906
21,64,32,0,f1,1,22.241302490234375,27768.744140625,1248.5214907182863
21,64,32,0,f1,2,1.6160049438476562,3278.71044921875,2028.898773917248
21,64,32,0,f1,3,0.6337980031967163,1321.1109619140625,2084.4353488787115
22,64,32,32,f0,1,144.12884521484375,32145.53125,223.03329498049104
22,64,32,32,f0,2,87.392333984375,15504.6494140625,177.414296050663
22,64,32,32,f0,3,49.665489196777344,8848.224609375,178.15639697653393
22,64,32,32,f1,1,22.726699829101562,27648.642578125,1216.5709401731822
22,64,32,32,f1,2,1.6529381275177002,3329.636474609375,2014.3745365760556
22,64,32,32,f1,3,0.5290318727493286,1221.117431640625,2308.2114604783355
23,64,32,64,f0,1,166.94696044921875,32904.79296875,197.09728694796243
23,64,32,64,f0,2,94.15164947509766,15806.0634765625,167.87877392145856
23,64,32,64,f0,3,61.09608840942383,9642.330078125,157.82237994531826
23,64,32,64,f1,1,21.912616729736328,27443.30859375,1252.397599621548
23,64,32,64,f1,2,1.6971513032913208,3352.967529296875,1975.644435939459
23,64,32,64,f1,3,0.5946661233901978,1302.11376953125,2189.6552003092024
24,64,64,0,f0,1,166.8294219970703,34267.0859375,205.40193406713092
24,64,64,0,f0,2,106.31909942626953,16480.30078125,155.00790422588796
24,64,64,0,f0,3,69.0504150390625,10809.3642578125,156.54307438553963
24,64,64,0,f1,1,22.402870178222656,27531.3046875,1228.9186371423675
24,64,64,0,f1,2,1.838014841079712,3394.594970703125,1846.881153966732
24,64,64,0,f1,3,0.660309910774231,1440.3746337890625,2181.3615247694884
25,64,64,32,f0,1,162.45993041992188,32884.6640625,202.41707587526622
25,64,64,32,f0,2,95.85537719726562,16500.94921875,172.14422081707207
25,64,64,32,f0,3,59.124122619628906,10260.6484375,173.54419791581554
25,64,64,32,f1,1,22.323495864868164,27360.478515625,1225.635925539898
25,64,64,32,f1,2,1.9767038822174072,3546.22216796875,1794.0077924008071
25,64,64,32,f1,3,0.6023416519165039,1384.8387451171875,2299.091787374607
26,64,64,64,f0,1,179.5013885498047,33608.68359375,187.23355771938614
26,64,64,64,f0,2,93.88572692871094,16369.8291015625,174.35908137551326
26,64,64,64,f0,3,63.52987289428711,10415.1259765625,163.9406078128469
26,64,64,64,f1,1,22.276241302490234,27475.798828125,1233.4126953927494
26,64,64,64,f1,2,1.8835461139678955,3345.9111328125,1776.3892840203398
26,64,64,64,f1,3,0.6617386341094971,1351.743408203125,2042.7149610512404
