patch_idx,sd,sh,sw,layer,band,raw_energy,weighted_energy,ratio
0,0,0,0,f0,1,232.4689483642578,36733.515625,158.0147193140038
0,0,0,0,f0,2,94.00236511230469,14842.6396484375,157.89644899577613
0,0,0,0,f0,3,66.04193115234375,9750.193359375,147.63640598097246
0,0,0,0,f1,1,22.73950958251953,28548.494140625,1255.4577765639121
0,0,0,0,f1,2,1.3806233406066895,3119.36962890625,2259.392215934319
0,0,0,0,f1,3,0.6492280960083008,1380.1279296875,2125.7982181777425
1,0,0,32,f0,1,166.60702514648438,34598.0703125,207.66273380177364
1,0,0,32,f0,2,73.26386260986328,15246.62890625,208.10572038003886
1,0,0,32,f0,3,36.908023834228516,8364.7080078125,226.63657218230253
1,0,0,32,f1,1,21.59088134765625,27299.884765625,1264.417340174361
1,0,0,32,f1,2,1.3054966926574707,2769.730712890625,2121.5915202745064
1,0,0,32,f1,3,0.6168336868286133,1271.2335205078125,2060.901581172824
2,0,0,64,f0,1,191.8007354736328,32929.703125,171.68705346036973
2,0,0,64,f0,2,88.29925537109375,13968.5556640625,158.19562243596434
2,0,0,64,f0,3,57.939937591552734,8957.70703125,154.60332550575305
2,0,0,64,f1,1,21.39279556274414,27395.80859375,1280.6090963379706
2,0,0,64,f1,2,1.4153635501861572,2884.238037109375,2037.8072027699063
2,0,0,64,f1,3,0.6215817928314209,1327.5223388671875,2135.7162551656156
3,0,32,0,f0,1,226.91372680664062,37872.25390625,166.90155522641348
3,0,32,0,f0,2,94.62107849121094,15764.033203125,166.601707087804
3,0,32,0,f0,3,70.13646697998047,10733.2841796875,153.03428646827936
3,0,32,0,f1,1,22.362163543701172,28280.38671875,1264.6534251250735
3,0,32,0,f1,2,1.4878126382827759,3175.5078125,2134.3465775119485
3,0,32,0,f1,3,0.7178623080253601,1428.281982421875,1989.632226754867
4,0,32,32,f0,1,173.49830627441406,33232.1328125,191.54154023808232
4,0,32,32,f0,2,80.20671844482422,14827.1748046875,184.86200523073666
4,0,32,32,f0,3,46.4909553527832,8237.529296875,177.18563179368348
4,0,32,32,f1,1,21.51941680908203,26920.09765625,1250.9678071241885
4,0,32,32,f1,2,1.3918050527572632,2890.674560546875,2076.9248931940356
4,0,32,32,f1,3,0.6105169057846069,1373.477783203125,2249.696560713168
5,0,32,64,f0,1,183.44784545898438,34802.1015625,189.71114910303447
5,0,32,64,f0,2,87.1584701538086,14224.4267578125,163.20188654884012
5,0,32,64,f0,3,62.85683059692383,8730.7373046875,138.8987835017351
5,0,32,64,f1,1,21.34684944152832,26833.37109375,1257.0178642637027
5,0,32,64,f1,2,1.498024344444275,3111.5302734375,2077.089257577929
5,0,32,64,f1,3,0.645960807800293,1443.2113037109375,2234.2087728562174
6,0,64,0,f0,1,227.57489013671875,36303.69140625,159.52415217882736
6,0,64,0,f0,2,83.66699981689453,15531.5888671875,185.6357811464286
6,0,64,0,f0,3,68.55909729003906,10825.1796875,157.89559832889793
6,0,64,0,f1,1,22.44488525390625,28051.935546875,1249.8141661023492
6,0,64,0,f1,2,1.5598113536834717,3227.361572265625,2069.0717275792285
6,0,64,0,f1,3,0.7232811450958252,1453.7449951171875,2009.9307233048023
7,0,64,32,f0,1,172.80938720703125,31807.27734375,184.05989314483054
7,0,64,32,f0,2,86.45792388916016,16423.212890625,189.95613301655865
7,0,64,32,f0,3,42.41264724731445,8930.8701171875,210.57091921449884
7,0,64,32,f1,1,21.72820281982422,26532.0,1221.0858035525935
7,0,64,32,f1,2,1.6444776058197021,3142.46142578125,1910.9177374373278
7,0,64,32,f1,3,0.7140769958496094,1527.24462890625,2138.7674407393483
8,0,64,64,f0,1,175.5848388671875,32615.322265625,185.75249706095107
8,0,64,64,f0,2,87.28363800048828,17448.50390625,199.9057819536829
8,0,64,64,f0,3,41.894493103027344,9780.84375,233.46370908335425
8,0,64,64,f1,1,21.087343215942383,26162.97265625,1240.6955389462773
8,0,64,64,f1,2,1.8155748844146729,3416.236328125,1881.6278840652094
8,0,64,64,f1,3,0.8315544724464417,1657.348388671875,1993.0725449578142
9,32,0,0,f0,1,232.92332458496094,36339.34765625,156.01420648190486
9,32,0,0,f0,2,87.89599609375,13967.8232421875,158.9130775341489
9,32,0,0,f0,3,63.493446350097656,9372.5048828125,147.6137368750332
9,32,0,0,f1,1,22.780189514160156,28399.02734375,1246.654569142014
9,32,0,0,f1,2,1.3050270080566406,2949.04345703125,2259.7566478110743
9,32,0,0,f1,3,0.6336187124252319,1388.40380859375,2191.2291751569646
10,32,0,32,f0,1,165.36431884765625,35199.484375,212.86021446638506
10,32,0,32,f0,2,70.37049102783203,15379.9208984375,218.55639592388823
10,32,0,32,f0,3,36.071285247802734,8677.109375,240.55448302963703
10,32,0,32,f1,1,21.343097686767578,27423.123046875,1284.8708022301594
10,32,0,32,f1,2,1.285030722618103,2751.8984375,2141.504003804034
10,32,0,32,f1,3,0.6708390712738037,1322.1923828125,1970.9531531905582
11,32,0,64,f0,1,197.016357421875,33304.796875,169.04584629835387
11,32,0,64,f0,2,90.7797622680664,14203.1806640625,156.45756619323728
11,32,0,64,f0,3,59.48430252075195,9189.982421875,154.4942452451012
11,32,0,64,f1,1,21.189029693603516,27569.60546875,1301.1263784802443
11,32,0,64,f1,2,1.3602066040039062,2873.672119140625,2112.6732591060554
11,32,0,64,f1,3,0.5842384696006775,1306.0133056640625,2235.411349332195
12,32,32,0,f0,1,231.45562744140625,38214.90625,165.10683569218494
12,32,32,0,f0,2,87.8272933959961,14678.0537109375,167.12405840354046
