patch_idx,sd,sh,sw,layer,band,raw_energy,weighted_energy,ratio
0,0,0,0,f0,1,218.981201171875,34755.640625,158.71517938072077
0,0,0,0,f0,2,97.49433135986328,15671.23046875,160.73991431261214
0,0,0,0,f0,3,66.16128540039062,10566.796875,159.71269014881403
0,0,0,0,f1,1,22.494468688964844,27151.564453125,1207.0329301195538
0,0,0,0,f1,2,1.6855461597442627,3489.91455078125,2070.4947951758745
0,0,0,0,f1,3,0.7170352935791016,1412.7669677734375,1970.2893015483264
1,0,0,32,f0,1,184.94020080566406,28765.267578125,155.5382088524469
1,0,0,32,f0,2,83.2518539428711,13107.1396484375,157.43961278546055
1,0,0,32,f0,3,53.69224548339844,8620.859375,160.56060418753387
1,0,0,32,f1,1,21.350627899169922,25800.26171875,1208.4076328149517
1,0,0,32,f1,2,1.7503656148910522,3494.70166015625,1996.5552513277482
1,0,0,32,f1,3,0.7203989028930664,1551.165283203125,2153.2032835858186
2,0,0,64,f0,1,235.79901123046875,37204.92578125,157.78236552860665
2,0,0,64,f0,2,102.17752838134766,15526.3916015625,151.95505163928652
2,0,0,64,f0,3,77.73675537109375,11671.2578125,150.13821655900733
2,0,0,64,f1,1,21.85561752319336,27177.796875,1243.5153958087644
2,0,0,64,f1,2,1.7287746667861938,3639.93798828125,2105.501693315427
2,0,0,64,f1,3,0.7444955110549927,1605.517578125,2156.5174729498817
3,0,32,0,f0,1,193.14712524414062,33447.52734375,173.1712408428119
3,0,32,0,f0,2,77.1211166381836,14292.650390625,185.3273268549687
3,0,32,0,f0,3,55.834835052490234,8978.27734375,160.8006423822937
3,0,32,0,f1,1,22.651535034179688,27149.9453125,1198.5918513483218
3,0,32,0,f1,2,1.5958342552185059,3312.191162109375,2075.5232890108537
3,0,32,0,f1,3,0.683661937713623,1407.6617431640625,2059.0026524946816
4,0,32,32,f0,1,183.10330200195312,30012.857421875,163.91215829387227
4,0,32,32,f0,2,69.1413345336914,12941.49609375,187.17451985893678
4,0,32,32,f0,3,51.21085739135742,8458.689453125,165.1737518956744
4,0,32,32,f1,1,21.685970306396484,25869.927734375,1192.9338355103819
4,0,32,32,f1,2,1.516687273979187,3257.4560546875,2147.7440409578153
4,0,32,32,f1,3,0.6631914973258972,1487.377685546875,2242.7574713216263
5,0,32,64,f0,1,216.4579620361328,37908.2734375,175.12995632459982
5,0,32,64,f0,2,96.22393798828125,15416.546875,160.21529774511373
5,0,32,64,f0,3,82.53597259521484,12291.677734375,148.9250971168356
5,0,32,64,f1,1,21.836702346801758,27858.591796875,1275.7691777098362
5,0,32,64,f1,2,1.6033109426498413,3338.588134765625,2082.3085815442355
5,0,32,64,f1,3,0.9260413646697998,1624.2974853515625,1754.0226034384405
6,0,64,0,f0,1,194.51925659179688,32567.9609375,167.4279529344719
6,0,64,0,f0,2,82.9081039428711,13948.0322265625,168.2348475388293
6,0,64,0,f0,3,51.72834014892578,8330.7275390625,161.04764844721853
6,0,64,0,f1,1,22.561542510986328,26394.767578125,1169.9008418981512
6,0,64,0,f1,2,1.7345830202102661,3311.384033203125,1909.0375004361624
6,0,64,0,f1,3,0.7433019876480103,1554.696044921875,2091.6075441143685
7,0,64,32,f0,1,166.64820861816406,30193.814453125,181.18295242109073
7,0,64,32,f0,2,73.07588958740234,15486.712890625,211.92643672304422
7,0,64,32,f0,3,39.9853630065918,9976.1748046875,249.49566677793135
7,0,64,32,f1,1,21.44399642944336,26165.314453125,1220.1696889483662
7,0,64,32,f1,2,1.6139826774597168,3117.292724609375,1931.4288611286831
7,0,64,32,f1,3,0.8470812439918518,1654.43994140625,1953.106568158427
8,0,64,64,f0,1,201.35997009277344,33542.93359375,166.5819357158995
8,0,64,64,f0,2,91.09342193603516,14577.25,160.02527614162778
8,0,64,64,f0,3,64.65504455566406,9155.244140625,141.60138939727665
8,0,64,64,f1,1,22.059066772460938,27480.36328125,1245.762731701592
8,0,64,64,f1,2,1.68605375289917,3326.80810546875,1973.132884848024
8,0,64,64,f1,3,0.7113579511642456,1601.1029052734375,2250.7696760129525
9,32,0,0,f0,1,216.32241821289062,34422.58984375,159.12631768878128
9,32,0,0,f0,2,104.8630142211914,15873.7138671875,151.37571607186823
9,32,0,0,f0,3,67.83384704589844,10381.6630859375,153.04547122195206
9,32,0,0,f1,1,22.339832305908203,27319.041015625,1222.884784520013
9,32,0,0,f1,2,1.8302127122879028,3551.876953125,1940.6907892596523
9,32,0,0,f1,3,0.7158113121986389,1443.352294921875,2016.3865397524282
10,32,0,32,f0,1,177.11349487304688,28819.619140625,162.71836971701362
10,32,0,32,f0,2,82.88318634033203,13039.71875,157.32646542395955
10,32,0,32,f0,3,49.059104919433594,8338.638671875,169.97127618958407
10,32,0,32,f1,1,21.706531524658203,26279.5234375,1210.6735434744955
10,32,0,32,f1,2,1.6282764673233032,3279.15673828125,2013.8820428141344
10,32,0,32,f1,3,0.6943559646606445,1521.68408203125,2191.5042996321886
11,32,0,64,f0,1,232.9722442626953,37098.49609375,159.2399824758448
11,32,0,64,f0,2,103.08067321777344,15560.1171875,150.95086888525418
11,32,0,64,f0,3,77.51475524902344,11449.63671875,147.7091255976597
11,32,0,64,f1,1,22.219175338745117,27269.537109375,1227.297444375534
11,32,0,64,f1,2,1.7082892656326294,3529.60107421875,2066.161244014824
11,32,0,64,f1,3,0.7315050959587097,1564.7939453125,2139.1429177394093
12,32,32,0,f0,1,181.2501983642578,33285.51171875,183.6440016018965
12,32,32,0,f0,2,79.4276123046875,14496.9345703125,182.51756724980598
12,32,32,0,f0,3,53.672061920166016,8648.244140625,161.1312073959183
12,32,32,0,f1,1,22.637256622314453,27260.71484375,1204.2411012329478
12,32,32,0,f1,2,1.5352983474731445,3153.522705078125,2054.0129612373157
12,32,32,0,f1,3,0.617817759513855,1313.6968994140625,2126.350172331807
13,32,32,32,f0,1,159.41802978515625,29096.978515625,182.51999823883222
13,32,32,32,f0,2,70.03163146972656,13383.8330078125,191.1112553988965
13,32,32,32,f0,3,43.89828109741211,8281.7412109375,188.65752835651546
13,32,32,32,f1,1,21.57539939880371,26014.55859375,1205.7509626074975
13,32,32,32,f1,2,1.5538063049316406,3181.443359375,2047.5160573588478
13,32,32,32,f1,3,0.6607924103736877,1454.1680908203125,2200.6428463604157
14,32,32,64,f0,1,195.58392333984375,35130.78125,179.61998435299353
14,32,32,64,f0,2,93.68476867675781,14854.9189453125,158.5627968679362
14,32,32,64,f0,3,76.00106048583984,10781.869140625,141.86471967234831
14,32,32,64,f1,1,21.69782829284668,27519.791015625,1268.320066146732
14,32,32,64,f1,2,1.4659931659698486,3222.625,2198.253767346745
14,32,32,64,f1,3,0.6964734196662903,1438.6807861328125,2065.665028279298
15,32,64,0,f0,1,202.87142944335938,33906.875,167.13479612695514
15,32,64,0,f0,2,83.719482421875,14402.3408203125,172.03093477975386
15,32,64,0,f0,3,55.849063873291016,8877.9755859375,158.96373135419913
15,32,64,0,f1,1,21.949344635009766,27421.583984375,1249.3121977152623
15,32,64,0,f1,2,1.4732961654663086,3153.36669921875,2140.3481344285906
15,32,64,0,f1,3,0.6516262888908386,1346.7939453125,2066.8195379331146
16,32,64,32,f0,1,149.035888671875,29898.068359375,200.60985730222276
16,32,64,32,f0,2,74.1651840209961,16175.4990234375,218.1009760436651
16,32,64,32,f0,3,39.08620834350586,10613.28515625,271.5352961068969
16,32,64,32,f1,1,21.83230209350586,25940.73046875,1188.1811802368304
16,32,64,32,f1,2,1.7777860164642334,3369.622802734375,1895.4040427397363
16,32,64,32,f1,3,0.9646708369255066,1707.2662353515625,1769.7914874165835
17,32,64,64,f0,1,183.96722412109375,32674.04296875,177.6079577481835
17,32,64,64,f0,2,89.96392059326172,14519.283203125,161.39006734453423
17,32,64,64,f0,3,56.59811019897461,8917.7998046875,157.56356128033593
17,32,64,64,f1,1,22.38020896911621,27310.4921875,1220.2965676140989
17,32,64,64,f1,2,1.5631680488586426,3164.767578125,2024.5856358398262
17,32,64,64,f1,3,0.6475581526756287,1520.931396484375,2348.7178567634883
18,64,0,0,f0,1,225.38687133789062,34168.23046875,151.59813997118874
18,64,0,0,f0,2,100.62358856201172,15390.3720703125,152.94994235698184
18,64,0,0,f0,3,65.36528015136719,10200.1103515625,156.04783346666338
18,64,0,0,f1,1,22.288578033447266,27440.978515625,1231.1677521304669
18,64,0,0,f1,2,1.8386304378509521,3515.32421875,1911.9253909757456
18,64,0,0,f1,3,0.750773549079895,1496.259765625,1992.9574869236365
19,64,0,32,f0,1,178.77557373046875,30718.458984375,171.8269355448276
19,64,0,32,f0,2,80.73719787597656,13174.138671875,163.17309763601315
19,64,0,32,f0,3,47.088016510009766,8262.4287109375,175.4677585364194
19,64,0,32,f1,1,22.30072021484375,26591.626953125,1192.4111282927963
19,64,0,32,f1,2,1.5980253219604492,3118.130615234375,1951.23980351395
19,64,0,32,f1,3,0.6682790517807007,1487.4725341796875,2225.825469486037
20,64,0,64,f0,1,250.3079376220703,36807.765625,147.04993367239672
20,64,0,64,f0,2,104.25325012207031,15638.4970703125,150.00488763660803
20,64,0,64,f0,3,77.58521270751953,11833.1005859375,152.51747302086713
20,64,0,64,f1,1,22.250524520874023,27085.03125,1217.2760792487986
20,64,0,64,f1,2,1.7523671388626099,3436.02099609375,1960.7883073646144
20,64,0,64,f1,3,0.7169273495674133,1576.9234619140625,2199.558243751424
21,64,32,0,f0,1,188.51904296875,33262.8515625,176.44292607624612
21,64,32,0,f0,2,89.2887954711914,14900.556640625,166.88047545038756
21,64,32,0,f0,3,62.166988372802734,9379.10546875,150.8695485215605
21,64,32,0,f1,1,22.66470718383789,27560.451171875,1216.0073787111191
21,64,32,0,f1,2,1.6097689867019653,3278.310546875,2036.5099427026755
21,64,32,0,f1,3,0.6492927074432373,1301.205078125,2004.034641397463
22,64,32,32,f0,1,164.14242553710938,30702.716796875,187.04924516869366
22,64,32,32,f0,2,79.921875,13699.4423828125,171.41042277614645
22,64,32,32,f0,3,51.72004318237305,8657.0361328125,167.38261610274097
22,64,32,32,f1,1,22.327680587768555,26685.49609375,1195.1754679063051
22,64,32,32,f1,2,1.5261069536209106,3013.899658203125,1974.8941259000458
22,64,32,32,f1,3,0.6239725351333618,1385.2860107421875,2220.1073488657476
