model,case_id,label,Accuracy,Avg. Symmetric Surface Distance,Dice,False Discovery Rate,False Negative Rate,False Omission Rate,False Positive Rate,Jaccard,Negative Predictive Value,Precision,Recall,Total Positives Reference,Total Positives Test,True Negative Rate
nnFormer,Task602_ls_0001,0,0.9998385796180138,0.00881766812119571,0.999919261342112,1.191861523308635e-05,0.00014954922868559706,0.35480501392757663,0.04198118084996383,0.9998385357206331,0.6451949860724233,0.9999880813847669,0.9998504507713144,34069049.0,34064360.0,0.9580188191500362
nnFormer,Task602_ls_0001,1,0.9998385796180138,1.5888621036987236,0.7710873455120469,0.3548050139275766,0.04198118084996383,1.1918615233047091e-05,0.00014954922868559706,0.6274549641067316,0.9999880813847669,0.6451949860724234,0.9580188191500362,9671.0,14360.0,0.9998504507713144
nnFormer,Task602_ls_0002,0,0.999830120488217,0.00979657383152099,0.9999150260388261,9.153878811785088e-05,7.840904802758342e-05,0.19793383191786032,0.22366725967732037,0.9998300665175734,0.8020661680821397,0.9999084612118821,0.9999215909519724,39829587.0,39830110.0,0.7763327403226796
nnFormer,Task602_ls_0002,1,0.999830120488217,1.154042872780099,0.7889896817232457,0.1979338319178603,0.22366725967732037,9.153878811783346e-05,7.840904802758342e-05,0.6515135914332785,0.9999084612118821,0.8020661680821397,0.7763327403226796,16301.0,15778.0,0.9999215909519724
nnFormer,Task602_ls_0003,0,0.9998825015002535,0.005402820241159202,0.9999412287696577,3.239421664180675e-05,8.514685254057408e-05,0.21259727980216744,0.09314793097671303,0.9998824644470244,0.7874027201978325,0.9999676057833582,0.9999148531474594,34328926.0,34327115.0,0.906852069023287
nnFormer,Task602_ls_0003,1,0.9998825015002535,0.7401315740894292,0.8429166504457508,0.21259727980216747,0.09314793097671303,3.239421664185878e-05,8.514685254057408e-05,0.7284839512818787,0.9999676057833582,0.7874027201978325,0.906852069023287,11938.0,13749.0,0.9999148531474594
nnFormer,Task602_ls_0004,0,0.9998411846975995,0.006282579306527826,0.9999205641611228,3.627036175546383e-05,0.00012259758950761146,0.3079380683214549,0.11631799163179912,0.9998411409413483,0.692061931678545,0.9999637296382445,0.9998774024104924,30661288.0,30658641.0,0.8836820083682009
nnFormer,Task602_ls_0004,1,0.9998411846975995,0.8511820214156589,0.7762208848256535,0.30793806832145487,0.11631799163179912,3.6270361755434626e-05,0.00012259758950761146,0.6342818529919664,0.9999637296382445,0.6920619316785451,0.8836820083682009,9560.0,12207.0,0.9998774024104924
nnFormer,Task602_ls_0005,0,0.9997502392484942,0.013582803720593811,0.9998750762385232,0.0002055534321538932,4.428108478982118e-05,0.16597510373443983,0.48023137121469883,0.9997501836850402,0.8340248962655602,0.9997944465678461,0.9999557189152102,34326169.0,34331706.0,0.5197686287853012
nnFormer,Task602_ls_0005,1,0.9997502392484942,2.8834928888154363,0.6404225883536662,0.1659751037344398,0.48023137121469883,0.00020555343215393956,4.428108478982118e-05,0.47104532839963,0.9997944465678461,0.8340248962655602,0.5197686287853012,14695.0,9158.0,0.9999557189152102
nnFormer,Task602_ls_0006,0,0.9998538447361366,0.008800153294763547,0.9999268968253568,9.906457551289716e-05,4.71404256161545e-05,0.14568719648500733,0.2638326137495849,0.9998538043380807,0.8543128035149927,0.9999009354244871,0.9999528595743838,40092977.0,40095059.0,0.7361673862504151
nnFormer,Task602_ls_0006,1,0.9998538447361366,1.2188773484706934,0.7908520051377195,0.14568719648500728,0.2638326137495849,9.906457551290796e-05,4.71404256161545e-05,0.654057244024786,0.9999009354244871,0.8543128035149927,0.7361673862504151,15055.0,12973.0,0.9999528595743838
nnFormer,Task602_ls_0007,0,0.9997697636701058,0.04358091237293421,0.9998848491304478,9.962661173623655e-05,0.00013067464532245943,0.43613879660391286,0.37094615463811387,0.9997697247772878,0.5638612033960871,0.9999003733882638,0.9998693253546775,36166159.0,36165036.0,0.6290538453618861
nnFormer,Task602_ls_0007,1,0.9997697636701058,11.668293135924094,0.5946761399581488,0.43613879660391286,0.37094615463811387,9.962661173626372e-05,0.00013067464532245943,0.4231594985802341,0.9999003733882638,0.5638612033960871,0.6290538453618861,9713.0,10836.0,0.9998693253546775
nnFormer,Task602_ls_0008,0,0.999565577507019,0.03772856144079286,0.9997826926120629,0.0003841028359624632,5.045626779920376e-05,0.18294265201972149,0.6303224796493425,0.9995654796486082,0.8170573479802785,0.9996158971640375,0.9999495437322008,41917488.0,41931479.0,0.3696775203506575
