subset_id,model,label,Dice,IoU,Sensitivity,Precision,Specificity,D95,ASSD
0,BANet,1,0.8445805636080134,0.754719914590982,0.8785275551839773,0.8329124061056964,0.9974620959682289,10.642431154959825,3.118703573266399
0,BGHNetV4,1,0.8306969362271573,0.7399091784183071,0.889889581344926,0.8069571264394294,0.995377271868978,13.602258693275477,3.4979177187714385
0,MedNeXt,1,0.8128533607629775,0.7158300828476876,0.887231993684901,0.7731611650660548,0.9947912708142124,19.715157253401813,4.669191523480153
0,nnUNet,1,0.8472696876522932,0.7570068842749773,0.8740380116861971,0.8420933903106235,0.9975286255781851,10.264018593525206,2.6147071739481906
0,RWKV_fd,1,0.7797698640122357,0.6710908463566607,0.8767490335732988,0.7341092233070752,0.9926180187806637,23.983835226396014,5.6438839999626405
0,RWKV_fd_loss,1,0.7770188925853481,0.6676380228467537,0.8757624846218718,0.729096169488501,0.9934949969607049,22.766758028879522,5.779862779615532
0,UNet3D,1,0.8398639618813917,0.746893565496196,0.876907084570627,0.8232939108430097,0.9975204247875484,8.593641049880693,2.1830975551930463
1,BANet,1,0.830265050264111,0.7362443752821736,0.8637530538996933,0.8200450067758726,0.9970792206990152,11.236926667456467,3.3144167975689958
1,BGHNetV4,1,0.8058437362716835,0.713744585866625,0.8837200521733386,0.7797139557178235,0.9945902929451879,13.485153947248559,4.082795295707461
1,MedNeXt,1,0.8008906980314181,0.7029056795002555,0.8814002442894855,0.7597130787919447,0.9947524181903912,17.599905242027216,4.7713431134808255
1,nnUNet,1,0.8372075127784167,0.7435063565566844,0.8602354551985002,0.8355501044503166,0.9974706686568428,10.523126042051908,2.7216849179417477
1,RWKV_fd,1,0.7477783908640846,0.6361397665639248,0.8563553224487974,0.7052543212876378,0.9920116946229588,23.97266657364181,6.528010057083311
1,RWKV_fd_loss,1,0.7661337781226283,0.6581187555488663,0.86638284092225,0.7214517961739249,0.9930469588093402,21.131032133310725,5.628757940359523
1,UNet3D,1,0.8348249887680876,0.7388955530566643,0.8634705343186241,0.8282631876904766,0.9977703465817729,8.709680110534984,2.204957732433279
2,BANet,1,0.8437323777386796,0.7512606089839228,0.8558349026834358,0.8405864961607836,0.9976490632890702,10.307606290411892,2.952499063703286
2,BGHNetV4,1,0.8258618122207542,0.7318401588765083,0.8811838663521238,0.8005317074149767,0.9950717342324017,11.734210598548007,3.0795591891742053
2,MedNeXt,1,0.8128256534403874,0.7145520664389629,0.8910550572918947,0.7676712660617038,0.9942108853171459,17.67919490609986,4.37560374320499
2,nnUNet,1,0.8494505093371436,0.7577542777769298,0.8522075446683186,0.8544694793169129,0.997864826223199,9.544214855958298,2.2920229519261306
2,RWKV_fd,1,0.7649702051574826,0.6528512732210237,0.870956640298021,0.7131670982080819,0.9916790823319604,21.97582802601767,5.826015809098088
2,RWKV_fd_loss,1,0.7769983103836339,0.667867937255131,0.8730508014877943,0.7272040177583123,0.9927155558126756,20.242812023653535,5.208959355043306
2,UNet3D,1,0.8503430712572327,0.7582799585374628,0.8663546653222008,0.8438602728799957,0.9979045177797555,6.659790661783245,1.7797775279629642
3,BANet,1,0.8605456630303228,0.7664868726565724,0.8734359566548581,0.8595172834452963,0.9978895120889436,8.782081406980872,1.8015408709834262
3,BGHNetV4,1,0.8471417034890564,0.7530919147945213,0.8997679591228471,0.8255888823320991,0.9966992273410413,10.181629576148305,2.490777247431053
3,MedNeXt,1,0.8302233545751965,0.7303017792277222,0.8942977861090661,0.7986502162605218,0.9956242077507086,16.31240471439952,3.594165210438705
3,nnUNet,1,0.8615572076207141,0.76670676829888,0.8678872516767694,0.8681138950037353,0.9980474649036843,8.432950782115801,1.7546784854936477
3,RWKV_fd,1,0.7908319646977393,0.6776850138339452,0.8776131263290148,0.7489449363142845,0.9935336837426751,21.430938877358514,4.791726084436241
3,RWKV_fd_loss,1,0.7932079603163484,0.6811220423741345,0.882844553735843,0.7481788929967316,0.9937968866796121,17.09573113000134,4.451953911539216
3,UNet3D,1,0.853120869055783,0.7532626572257195,0.8739728431398712,0.8495126491359067,0.9978500859650509,7.88947927613514,1.7248158227044617
