subset_id,model,label,Dice,IoU,Sensitivity,Precision,Specificity,D95,ASSD
0,BANet,1,0.8473972311240201,0.7485726869512815,0.8717279885030775,0.8376940498584219,0.9968122973422446,10.250674510297909,2.096115447602616
0,BGHNetV4,1,0.8180325511296364,0.7189020550351891,0.889592901963552,0.7945417048996803,0.995481845538813,14.07010668511486,3.4763530700464083
0,MedNeXt,1,0.8140535614749578,0.7091770248611088,0.8960534370074015,0.773751826820902,0.9946754075222245,18.681176884529677,4.3191878474289656
0,nnUNet,1,0.8571035280630752,0.7609816769699183,0.8693913229142041,0.857866268926809,0.9974062943939218,8.670619410608753,1.8595591434030063
0,RWKV_med,1,0.0,0.0,0.0,nan,1.0,nan,nan
0,RWKV_fd,1,0.766902511222165,0.6520086339281578,0.8730464426594129,0.7213735923433656,0.9919234500568154,22.230700883890382,5.451735909708594
0,RWKV_fd_loss,1,0.7764334396683577,0.6624102574917263,0.8779679827796943,0.728012965568037,0.992746075458841,18.254568905585707,4.766098094857059
0,UNet3D,1,0.8517263435819775,0.7517665725115521,0.8792108665541356,0.8435894375171433,0.9974105590207305,9.504181514477576,1.9672358319802903
1,BANet,1,0.851500552718637,0.755756486615841,0.8737517863557999,0.85266177289685,0.9976646368906981,10.364343090096352,2.0143402071064003
1,BGHNetV4,1,0.8288310013034896,0.7328844431810582,0.8948617178682511,0.8089608038910849,0.9956837830033388,12.835165290006978,3.083748291671385
1,MedNeXt,1,0.8319200176907369,0.7333014997710231,0.8937413416426814,0.8005744765768379,0.996385913980758,15.889098641444786,3.741621018272707
1,nnUNet,1,0.8577871256111497,0.7618994409396722,0.8708174681421117,0.8654595833866392,0.9980625112953565,10.074701988578346,1.9361174951362046
1,RWKV_med,1,0.0,0.0,0.0,nan,1.0,nan,nan
1,RWKV_fd,1,0.7910844735951726,0.6812955628240903,0.8831574416901804,0.7499312613678193,0.9939611333909205,20.057716900060026,4.771334691834373
1,RWKV_fd_loss,1,0.7850909949279622,0.6726170274470337,0.8832187252749634,0.7405327260603937,0.9938418602720376,22.532059100464522,5.348242377017556
1,UNet3D,1,0.8614249650336234,0.767142035768272,0.8831934694397461,0.8559142888576565,0.9979850106922777,7.063039502562828,1.5253060546224333
2,BANet,1,0.8675957577552724,0.7747773194250757,0.8808286442374331,0.8627324061327066,0.9976538190929274,8.735076963260445,1.710255634183038
2,BGHNetV4,1,0.8309977044786437,0.7341138266449645,0.9058489383900327,0.8009865455320806,0.995517765451515,13.147508241418057,3.1048701529331804
2,MedNeXt,1,0.8201263058368333,0.7206098581130789,0.9040266469961222,0.7805089185703127,0.9950602561185224,15.971218541342433,4.205461589308171
