model,case_id,label,Accuracy,Avg. Symmetric Surface Distance,Dice,False Discovery Rate,False Negative Rate,False Omission Rate,False Positive Rate,Hausdorff Distance 95,Jaccard,Negative Predictive Value,Precision,Recall,Total Positives Reference,Total Positives Test,True Negative Rate
BANet,ESO_TJ_1006597148,0,0.9985384941101074,0.03596369500280929,0.999266206950708,0.00016001801400400417,0.001306909921317434,0.27622130069788614,0.04459279038718289,0.0,0.9985334900162488,0.7237786993021138,0.999839981985996,0.9986930900786826,2089662.0,2087265.0,0.9554072096128171
BANet,ESO_TJ_1006597148,1,0.9985384941101074,1.367970215913442,0.8236174253323358,0.2762213006978861,0.04459279038718289,0.0001600180140039717,0.001306909921317434,6.4031242374328485,0.7001271891204384,0.999839981985996,0.7237786993021139,0.9554072096128171,7490.0,9887.0,0.9986930900786826
BANet,ESO_TJ_1009540774,0,0.9965767860412598,0.06917733768229639,0.9982725077513364,0.0003436159482137491,0.0031075423021765802,0.29177383692071657,0.04345441248171622,0.0,0.9965509736689252,0.7082261630792834,0.9996563840517863,0.9968924576978234,2080744.0,2074991.0,0.9565455875182838
BANet,ESO_TJ_1009540774,1,0.9965767860412598,1.5476906276892688,0.8138660582332962,0.29177383692071657,0.04345441248171622,0.0003436159482137513,0.0031075423021765802,6.082762530298219,0.6861502142170149,0.9996563840517863,0.7082261630792834,0.9565455875182838,16408.0,22161.0,0.9968924576978234
BANet,ESO_TJ_1009751122,0,0.9949908256530762,0.10689440489750257,0.9974208738585126,0.003156955091540903,0.0020006269155069534,0.06851873664372612,0.10411069752387114,0.0,0.9948550172764651,0.9314812633562739,0.9968430449084591,0.997999373084493,2035362.0,2037723.0,0.8958893024761289
BANet,ESO_TJ_1009751122,1,0.9949908256530762,1.2553775268464247,0.9133386680305893,0.0685187366437261,0.10411069752387114,0.003156955091540901,0.0020006269155069534,6.0,0.8404998329841183,0.9968430449084591,0.9314812633562739,0.8958893024761289,61790.0,59429.0,0.997999373084493
BANet,ESO_TJ_1010687575,0,0.9973859786987305,0.05120959382242283,0.9986718674290145,0.0006443986291618797,0.002010931565379237,0.11946266252445058,0.04160926737633064,0.0,0.9973472580510138,0.8805373374755494,0.9993556013708381,0.9979890684346208,2065212.0,2062388.0,0.9583907326236694
BANet,ESO_TJ_1010687575,1,0.9973859786987305,0.8443087486265972,0.9178160230271049,0.11946266252445059,0.04160926737633064,0.000644398629161923,0.002010931565379237,3.3166247903554,0.8481145928573408,0.9993556013708381,0.8805373374755494,0.9583907326236694,31940.0,34764.0,0.9979890684346208
BANet,ESO_TJ_1010828627,0,0.9861202239990234,0.24890633776591772,0.9927753318835019,0.005847304960590494,0.008598219977613453,0.20296994944766897,0.14726944938277786,1.0,0.9856543066404276,0.797030050552331,0.9941526950394095,0.9914017800223865,2017278.0,2011696.0,0.8527305506172221
BANet,ESO_TJ_1010828627,1,0.9861202239990234,2.7391209444589895,0.8239399987902982,0.202969949447669,0.14726944938277786,0.005847304960590467,0.008598219977613453,12.328828005937952,0.7005935053847498,0.9941526950394095,0.797030050552331,0.8527305506172221,79874.0,85456.0,0.9914017800223865
